cik,name,sector,stratum,new_filer,section_type,selection_confidence,n_filings,first_seen_year,n_release_language_measured,n_release_language_missing,release_language_missing_share,release_language_flag,n_deck_shaped,deck_shaped_flag
1800,ABBOTT LABORATORIES,healthcare,core,True,EX99_PRESS_RELEASE,high,48,2015,48,3,0.0625,False,0,False
2488,ADVANCED MICRO DEVICES INC,tech,core,True,EX99_PRESS_RELEASE,high,48,2015,48,1,0.0208,False,0,False
2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,True,EX99_PRESS_RELEASE,high,47,2015,47,1,0.0213,False,0,False
3570,"Cheniere Energy, Inc.",utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
4281,Howmet Aerospace Inc.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,53,2015,53,2,0.0377,False,0,False
4447,HESS CORP,energy,core,True,EX99_PRESS_RELEASE,high,40,2015,40,0,0.0,False,0,False
4904,AMERICAN ELECTRIC POWER CO INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",financials,core,True,EX99_PRESS_RELEASE,high,53,2015,53,1,0.0189,False,0,False
6769,APACHE CORP,energy,core,True,EX99_PRESS_RELEASE,high,23,2015,23,0,0.0,False,0,False
6951,APPLIED MATERIALS INC /DE,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
8670,AUTOMATIC DATA PROCESSING INC,tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
10795,BECTON DICKINSON & CO,healthcare,core,True,EX99_PRESS_RELEASE,high,52,2015,52,4,0.0769,False,0,False
12927,BOEING CO,industrials,extension,True,EX99_PRESS_RELEASE,high,50,2015,50,0,0.0,False,0,False
14272,BRISTOL MYERS SQUIBB CO,healthcare,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
18230,CATERPILLAR INC,industrials,extension,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
19617,JPMORGAN CHASE & CO,financials,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
21344,COCA COLA CO,consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
21665,COLGATE PALMOLIVE CO,consumer,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
24741,CORNING INC /NY,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
27419,TARGET CORP,consumer,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
29915,DOW CHEMICAL CO /DE/,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,9,2015,9,0,0.0,False,0,False
30554,"EIDP, Inc.",materials_realestate,extension,True,EX99_PRESS_RELEASE,high,10,2015,10,0,0.0,False,0,False
31462,ECOLAB INC.,consumer,core,True,EX99_PRESS_RELEASE,high,62,2015,62,11,0.1774,False,0,False
32604,EMERSON ELECTRIC CO,industrials,extension,True,8K_BODY,high,3,2019,54,4,0.0741,False,0,False
32604,EMERSON ELECTRIC CO,industrials,extension,True,EX99_PRESS_RELEASE,high,51,2015,54,4,0.0741,False,0,False
33213,EQT Corp,energy,core,True,8K_BODY,high,16,2022,65,6,0.0923,False,0,False
33213,EQT Corp,energy,core,True,EX99_PRESS_RELEASE,high,49,2015,65,6,0.0923,False,0,False
34088,EXXON MOBIL CORP,energy,core,False,EX99_PRESS_RELEASE,high,49,2015,49,0,0.0,False,0,False
36104,US BANCORP \DE\,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
37996,FORD MOTOR CO,consumer,core,True,EX99_PRESS_RELEASE,high,48,2015,48,6,0.125,False,0,False
40533,GENERAL DYNAMICS CORP,industrials,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
45012,HALLIBURTON CO,energy,core,True,8K_BODY,high,32,2015,46,0,0.0,False,0,False
45012,HALLIBURTON CO,energy,core,True,EX99_PRESS_RELEASE,high,14,2023,46,0,0.0,False,0,False
47217,HP INC,tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
49071,HUMANA INC,healthcare,core,True,8K_BODY,high,3,2015,48,1,0.0208,False,0,False
49071,HUMANA INC,healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,48,1,0.0208,False,0,False
49826,ILLINOIS TOOL WORKS INC,industrials,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
50863,INTEL CORP,tech,core,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
51143,INTERNATIONAL BUSINESS MACHINES CORP,tech,core,True,8K_BODY,high,9,2015,53,1,0.0189,False,0,False
51143,INTERNATIONAL BUSINESS MACHINES CORP,tech,core,True,EX99_PRESS_RELEASE,high,44,2016,53,1,0.0189,False,0,False
55785,KIMBERLY CLARK CORP,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
59478,ELI LILLY & Co,healthcare,core,True,8K_BODY,high,1,2022,51,0,0.0,False,0,False
59478,ELI LILLY & Co,healthcare,core,True,EX99_PRESS_RELEASE,high,50,2015,51,0,0.0,False,0,False
60667,LOWES COMPANIES INC,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
63908,MCDONALDS CORP,consumer,core,False,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
64040,S&P Global Inc.,industrials,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,2,0.0435,False,0,False
64803,CVS HEALTH Corp,consumer,core,True,8K_BODY,high,2,2022,51,0,0.0,False,0,False
64803,CVS HEALTH Corp,consumer,core,True,EX99_PRESS_RELEASE,high,49,2015,51,0,0.0,False,0,False
66740,3M CO,healthcare,core,True,EX99_PRESS_RELEASE,high,54,2015,54,8,0.1481,False,0,False
70858,BANK OF AMERICA CORP /DE/,financials,core,False,8K_BODY,high,1,2024,46,1,0.0217,False,0,False
70858,BANK OF AMERICA CORP /DE/,financials,core,False,EX99_PRESS_RELEASE,high,45,2015,46,1,0.0217,False,0,False
72741,EVERSOURCE ENERGY,utilities,extension,True,EX99_PRESS_RELEASE,high,34,2019,50,2,0.04,False,0,False
72741,EVERSOURCE ENERGY,utilities,extension,True,EX99_PRESS_RELEASE,medium,16,2015,50,2,0.04,False,0,False
72903,XCEL ENERGY INC,utilities,extension,True,8K_BODY,high,1,2018,45,1,0.0222,False,0,False
72903,XCEL ENERGY INC,utilities,extension,True,EX99_PRESS_RELEASE,high,44,2015,45,1,0.0222,False,0,False
72971,WELLS FARGO & COMPANY/MN,financials,core,True,8K_BODY,high,1,2016,48,2,0.0417,False,0,False
72971,WELLS FARGO & COMPANY/MN,financials,core,True,EX99_PRESS_RELEASE,high,47,2015,48,2,0.0417,False,0,False
73309,NUCOR CORP,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
77476,PEPSICO INC,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
78003,PFIZER INC,healthcare,core,False,8K_BODY,high,1,2022,49,0,0.0,False,0,False
78003,PFIZER INC,healthcare,core,False,EX99_PRESS_RELEASE,high,48,2015,49,0,0.0,False,0,False
79879,PPG INDUSTRIES INC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,54,2015,54,2,0.037,False,0,False
80424,PROCTER & GAMBLE Co,consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
80661,PROGRESSIVE CORP/OH/,financials,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
80661,PROGRESSIVE CORP/OH/,financials,core,True,EX99_PRESS_RELEASE,low,1,2017,44,0,0.0,False,0,False
86312,"TRAVELERS COMPANIES, INC.",financials,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
87347,SLB LIMITED/NV,energy,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
89800,SHERWIN WILLIAMS CO,consumer,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
92122,SOUTHERN CO,utilities,extension,True,8K_BODY,high,1,2023,53,8,0.1509,False,0,False
92122,SOUTHERN CO,utilities,extension,True,EX99_PRESS_RELEASE,high,52,2015,53,8,0.1509,False,0,False
92230,TRUIST FINANCIAL CORP,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
93410,CHEVRON CORP,energy,core,False,8K_BODY,high,2,2024,48,2,0.0417,False,0,False
93410,CHEVRON CORP,energy,core,False,EX99_PRESS_RELEASE,high,46,2015,48,2,0.0417,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,8K_BODY,high,1,2018,46,2,0.0435,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,46,2,0.0435,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,EX99_PRESS_RELEASE,medium,1,2020,46,2,0.0435,False,0,False
97745,THERMO FISHER SCIENTIFIC INC.,industrials,extension,True,8K_BODY,high,1,2021,48,0,0.0,False,0,False
97745,THERMO FISHER SCIENTIFIC INC.,industrials,extension,True,EX99_PRESS_RELEASE,high,47,2015,48,0,0.0,False,0,False
100885,UNION PACIFIC CORP,industrials,extension,True,8K_BODY,high,1,2019,47,1,0.0213,False,0,False
100885,UNION PACIFIC CORP,industrials,extension,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
101829,RTX Corp,industrials,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
104169,Walmart Inc.,consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
106040,WESTERN DIGITAL CORP,tech,core,True,8K_BODY,high,1,2025,47,1,0.0213,False,0,False
106040,WESTERN DIGITAL CORP,tech,core,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
106535,WEYERHAEUSER CO,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
107263,"WILLIAMS COMPANIES, INC.",energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
109198,TJX COMPANIES INC /DE/,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
200406,JOHNSON & JOHNSON,healthcare,core,False,EX99_PRESS_RELEASE,high,30,2019,30,1,0.0333,False,0,False
200406,JOHNSON & JOHNSON,healthcare,core,False,EX99_PRESS_RELEASE,low,18,2015,30,1,0.0333,False,0,False
310158,"Merck & Co., Inc.",healthcare,core,False,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
310764,STRYKER CORP,healthcare,core,True,EX99_PRESS_RELEASE,high,48,2015,48,0,0.0,False,0,False
313616,DANAHER CORP /DE/,industrials,extension,True,8K_BODY,high,1,2023,58,2,0.0345,False,0,False
313616,DANAHER CORP /DE/,industrials,extension,True,EX99_PRESS_RELEASE,high,57,2015,58,2,0.0345,False,0,False
315189,DEERE & CO,industrials,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
315293,Aon plc,financials,core,True,EX99_PRESS_RELEASE,high,44,2015,45,0,0.0,False,0,False
315293,Aon plc,financials,core,True,EX99_PRESS_RELEASE,medium,1,2015,45,0,0.0,False,0,False
316709,SCHWAB CHARLES CORP,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
318154,AMGEN INC,healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
320187,"NIKE, Inc.",consumer,core,True,EX99_PRESS_RELEASE,high,57,2015,57,0,0.0,False,0,False
320193,Apple Inc.,tech,core,False,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
354950,"HOME DEPOT, INC.",consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
701221,Cigna Holding Co,healthcare,core,True,8K_BODY,high,2,2017,17,0,0.0,False,0,False
701221,Cigna Holding Co,healthcare,core,True,EX99_PRESS_RELEASE,high,15,2015,17,0,0.0,False,0,False
707549,LAM RESEARCH CORP,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
712515,ELECTRONIC ARTS INC.,tech,core,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",financials,core,True,EX99_PRESS_RELEASE,high,91,2015,91,36,0.3956,False,0,False
715957,"DOMINION ENERGY, INC",utilities,extension,True,8K_BODY,high,1,2020,45,1,0.0222,False,0,False
715957,"DOMINION ENERGY, INC",utilities,extension,True,EX99_PRESS_RELEASE,high,44,2015,45,1,0.0222,False,0,False
718877,"Activision Blizzard, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,33,2015,33,0,0.0,False,0,False
723125,MICRON TECHNOLOGY INC,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
726728,REALTY INCOME CORP,materials_realestate,extension,True,8K_BODY,high,1,2021,47,1,0.0213,False,0,False
726728,REALTY INCOME CORP,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
731766,UNITEDHEALTH GROUP INC,healthcare,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
732712,VERIZON COMMUNICATIONS INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
732717,AT&T INC.,utilities,extension,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
732717,AT&T INC.,utilities,extension,True,EXCLUDED_BY_OVERRIDE,override,1,2019,47,0,0.0,False,0,False
753308,NEXTERA ENERGY INC,utilities,extension,True,8K_BODY,high,1,2026,46,1,0.0217,False,0,False
753308,NEXTERA ENERGY INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,46,1,0.0217,False,0,False
764180,"ALTRIA GROUP, INC.",consumer,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
766704,WELLTOWER INC.,materials_realestate,extension,True,8K_BODY,high,1,2019,59,2,0.0339,False,0,False
