cik,name,stratum,chosen_ticker,all_candidates,status,fetched,has_usable_prices,reason
1800,ABBOTT LABORATORIES,core,ABT,ABT,resolved,True,True,CIK-verified from submissions.json
2488,ADVANCED MICRO DEVICES INC,core,AMD,AMD,resolved,True,True,CIK-verified from submissions.json
2969,"Air Products & Chemicals, Inc.",extension,APD,APD,resolved,True,True,CIK-verified from submissions.json
3570,"Cheniere Energy, Inc.",extension,LNG,LNG,resolved,True,True,CIK-verified from submissions.json
4281,Howmet Aerospace Inc.,extension,HWM,HWM,resolved,True,True,CIK-verified from submissions.json
4447,HESS CORP,core,,,censored,False,False,submissions.json carries no ticker at all
4904,AMERICAN ELECTRIC POWER CO INC,extension,AEP,,override,True,True,evidenced override (upstream_ticker_wobble); submissions.json carries no ticker at all
5272,"AMERICAN INTERNATIONAL GROUP, INC.",core,AIG,AIG,resolved,True,True,CIK-verified from submissions.json
6769,APACHE CORP,core,,,censored,False,False,submissions.json carries no ticker at all
6951,APPLIED MATERIALS INC /DE,core,AMAT,AMAT,resolved,True,True,CIK-verified from submissions.json
8670,AUTOMATIC DATA PROCESSING INC,core,ADP,ADP,resolved,True,True,CIK-verified from submissions.json
10795,BECTON DICKINSON & CO,core,BDX,BDX,resolved,True,True,CIK-verified from submissions.json
12927,BOEING CO,extension,BA,"BA,BA-PA",resolved,True,True,CIK-verified from submissions.json
14272,BRISTOL MYERS SQUIBB CO,core,BMY,"BMY,CELG-RI",resolved,True,True,CIK-verified from submissions.json
18230,CATERPILLAR INC,extension,CAT,CAT,resolved,True,True,CIK-verified from submissions.json
19617,JPMORGAN CHASE & CO,core,JPM,"JPM,JPM-PC,AMJB,JPM-PD,JPM-PJ,JPM-PK,JPM-PL,JPM-PM,VYLD",resolved,True,True,CIK-verified from submissions.json
21344,COCA COLA CO,core,KO,KO,resolved,True,True,CIK-verified from submissions.json
21665,COLGATE PALMOLIVE CO,core,CL,CL,resolved,True,True,CIK-verified from submissions.json
24741,CORNING INC /NY,extension,GLW,GLW,resolved,True,True,CIK-verified from submissions.json
27419,TARGET CORP,core,TGT,TGT,resolved,True,True,CIK-verified from submissions.json
29915,DOW CHEMICAL CO /DE/,extension,,,censored,False,False,"Dow Chemical Co /DE/ is deliberately censored, never mapped to DOW: today's DOW is Dow Inc (CIK 1751788), a 2019 spin-off whose price history does not contain Dow Chemical's pre-2019 series. MEASURED 2026-08-24: CIK 29915's submissions carry an empty tickers[]; the bulk map resolves DOW to CIK 1751788 'DOW INC.'"
30554,"EIDP, Inc.",extension,,"CTA-PB,CTA-PA",censored,False,False,"no common-share ticker in submissions (non-common only: CTA-PB, CTA-PA)"
31462,ECOLAB INC.,core,ECL,ECL,resolved,True,True,CIK-verified from submissions.json
32604,EMERSON ELECTRIC CO,extension,EMR,EMR,resolved,True,True,CIK-verified from submissions.json
33213,EQT Corp,core,EQT,EQT,resolved,True,True,CIK-verified from submissions.json
34088,EXXON MOBIL CORP,core,XOM,,override,True,True,"evidenced override (successor_cik_reorganization) [successor_reorg: XOM bulk-maps to CIK 2115436, the trap signature, overridden on reorganisation evidence + a series-continuity check + a standing WARN]; submissions.json carries no ticker at all"
36104,US BANCORP \DE\,core,USB,"USB,USB-PA,USB-PH,USB-PP,USB-PQ,USB-PR,USB-PS",resolved,True,True,CIK-verified from submissions.json
37996,FORD MOTOR CO,core,F,"F,F-PB,F-PC,F-PD",resolved,True,True,CIK-verified from submissions.json
40533,GENERAL DYNAMICS CORP,extension,GD,GD,resolved,True,True,CIK-verified from submissions.json
45012,HALLIBURTON CO,core,HAL,HAL,resolved,True,True,CIK-verified from submissions.json
47217,HP INC,core,HPQ,HPQ,resolved,True,True,CIK-verified from submissions.json
49071,HUMANA INC,core,HUM,HUM,resolved,True,True,CIK-verified from submissions.json
49826,ILLINOIS TOOL WORKS INC,extension,ITW,ITW,resolved,True,True,CIK-verified from submissions.json
50863,INTEL CORP,core,INTC,INTC,resolved,True,True,CIK-verified from submissions.json
51143,INTERNATIONAL BUSINESS MACHINES CORP,core,IBM,IBM,resolved,True,True,CIK-verified from submissions.json
55785,KIMBERLY CLARK CORP,extension,KMB,KMB,resolved,True,True,CIK-verified from submissions.json
59478,ELI LILLY & Co,core,LLY,LLY,resolved,True,True,CIK-verified from submissions.json
60667,LOWES COMPANIES INC,core,LOW,LOW,resolved,True,True,CIK-verified from submissions.json
62709,"MARSH & MCLENNAN COMPANIES, INC.",core,MRSH,MRSH,resolved,True,True,CIK-verified from submissions.json
63908,MCDONALDS CORP,core,MCD,MCD,resolved,True,True,CIK-verified from submissions.json
64040,S&P Global Inc.,extension,SPGI,SPGI,resolved,True,True,CIK-verified from submissions.json
64803,CVS HEALTH Corp,core,CVS,CVS,resolved,True,True,CIK-verified from submissions.json
66740,3M CO,core,MMM,MMM,resolved,True,True,CIK-verified from submissions.json
70858,BANK OF AMERICA CORP /DE/,core,BAC,"BAC,BML-PG,BML-PL,BAC-PB,BAC-PK,BAC-PE,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,BML-PH,BML-PJ,MER-PK",resolved,True,True,CIK-verified from submissions.json
72741,EVERSOURCE ENERGY,extension,ES,ES,resolved,True,True,CIK-verified from submissions.json
72903,XCEL ENERGY INC,extension,XEL,"XEL,XELLL",resolved,True,True,CIK-verified from submissions.json
72971,WELLS FARGO & COMPANY/MN,core,WFC,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ",resolved,True,True,CIK-verified from submissions.json
73309,NUCOR CORP,extension,NUE,NUE,resolved,True,True,CIK-verified from submissions.json
77476,PEPSICO INC,core,PEP,PEP,resolved,True,True,CIK-verified from submissions.json
78003,PFIZER INC,core,PFE,PFE,resolved,True,True,CIK-verified from submissions.json
79879,PPG INDUSTRIES INC,extension,PPG,PPG,resolved,True,True,CIK-verified from submissions.json
80424,PROCTER & GAMBLE Co,core,PG,PG,resolved,True,True,CIK-verified from submissions.json
80661,PROGRESSIVE CORP/OH/,core,PGR,PGR,resolved,True,True,CIK-verified from submissions.json
86312,"TRAVELERS COMPANIES, INC.",core,TRV,TRV,resolved,True,True,CIK-verified from submissions.json
87347,SLB LIMITED/NV,core,SLB,SLB,resolved,True,True,CIK-verified from submissions.json
89800,SHERWIN WILLIAMS CO,core,SHW,SHW,resolved,True,True,CIK-verified from submissions.json
92122,SOUTHERN CO,extension,SO,"SO,SOJC,SOJD,SOJE,SOJF,SOMN",resolved,True,True,CIK-verified from submissions.json
92230,TRUIST FINANCIAL CORP,core,TFC,"TFC,TFC-PI,TFC-PO,TFC-PR",resolved,True,True,CIK-verified from submissions.json
93410,CHEVRON CORP,core,CVX,CVX,resolved,True,True,CIK-verified from submissions.json
97476,TEXAS INSTRUMENTS INC,core,TXN,TXN,resolved,True,True,CIK-verified from submissions.json
97745,THERMO FISHER SCIENTIFIC INC.,extension,TMO,TMO,resolved,True,True,CIK-verified from submissions.json
