form,section_type,slice,n,min,p1,p5,p10,p25,p50,p75,p90,p99,max,current_floor,n_below_current_floor,n_below_15,n_below_50,n_below_100,n_below_250,n_below_400,n_below_500,n_below_750,n_below_1000,n_below_1500,n_below_2000,n_below_3000
10-K,MDA,all,2321,13,32.0,62.0,5861.0,8891.0,12804.0,17662.0,25671.0,70152.0,192558,1500,134,5,88,118,130,130,130,130,132,134,140,167
10-K,MDA,era<=2018,639,13,32.0,42.9,2087.4,9870.0,13940.0,18761.0,26429.0,69699.8,90471,1500,61,4,37,54,58,58,58,58,59,61,64,69
10-K,MDA,era>=2019,1682,13,34.4,2478.5,6062.0,8533.0,12486.5,17139.8,24654.4,70398.3,192558,1500,73,1,51,64,72,72,72,72,73,73,76,98
10-K,MDA,stratum=core,1691,13,34.9,103.0,5549.0,8349.5,12155.0,17085.0,26103.0,63853.9,81945,1500,91,4,58,82,88,88,88,88,89,91,91,116
10-K,MDA,stratum=extension,630,14,28.0,50.0,7144.2,10944.0,14493.0,18742.8,24787.8,146915.3,192558,1500,43,1,30,36,42,42,42,42,43,43,49,51
10-K,RISK_FACTORS,all,2325,13,39.2,3051.6,3992.0,6760.0,10272.0,14197.0,20892.6,45362.0,103639,2000,63,2,36,44,44,44,44,44,45,55,63,112
10-K,RISK_FACTORS,era<=2018,646,29,40.8,2495.2,3223.5,5344.2,8305.0,13040.2,17379.0,45363.2,65705,2000,26,0,10,14,14,14,14,14,15,20,26,53
10-K,RISK_FACTORS,era>=2019,1679,13,39.8,3315.7,4631.4,7336.0,10720.0,14751.5,21769.8,45224.9,103639,2000,37,2,26,30,30,30,30,30,30,35,37,59
10-K,RISK_FACTORS,stratum=core,1683,13,38.0,3296.3,4635.2,7238.5,10889.0,15175.5,23144.8,48239.9,75146,2000,51,2,36,44,44,44,44,44,44,45,51,72
10-K,RISK_FACTORS,stratum=extension,642,985,1392.8,2845.3,3268.1,5555.0,8380.5,11595.0,16464.8,28842.9,103639,2000,12,0,0,0,0,0,0,0,1,10,12,40
10-Q,MDA,all,7145,13,591.2,3812.0,4787.8,6569.0,9160.0,12835.0,18779.6,54270.0,113427,1000,92,10,24,25,38,52,64,87,92,103,138,213
10-Q,MDA,era<=2018,2289,13,207.0,3565.4,4741.8,6512.0,9282.0,13392.0,19747.0,62890.8,107676,1000,47,10,22,22,27,32,34,44,47,52,61,85
10-Q,MDA,era>=2019,4856,15,1269.0,3862.0,4793.0,6592.8,9132.5,12629.0,18059.0,51687.5,113427,1000,45,0,2,3,11,20,30,43,45,51,77,128
10-Q,MDA,stratum=core,5123,13,1705.4,3724.2,4626.0,6351.5,8856.0,12619.0,19726.4,62658.8,113427,1000,40,10,10,10,11,13,21,38,40,51,86,151
10-Q,MDA,stratum=extension,2022,15,224.1,4094.2,5327.4,7174.5,10047.5,13500.2,17710.4,30500.4,47452,1000,52,0,14,15,27,39,43,49,52,52,52,62
10-Q,RISK_FACTORS,all,6554,19,21.0,26.0,29.0,39.0,94.0,931.0,12540.4,31244.0,51295,15,0,0,2283,3411,4193,4377,4530,4780,4956,5137,5272,5373
10-Q,RISK_FACTORS,era<=2018,1999,19,21.0,26.0,29.0,38.0,88.0,699.5,10903.4,24029.3,30656,15,0,0,756,1098,1348,1409,1442,1510,1542,1575,1615,1644
10-Q,RISK_FACTORS,era>=2019,4555,19,22.0,26.0,29.0,40.0,98.0,1025.5,12969.6,34544.9,51295,15,0,0,1527,2313,2845,2968,3088,3270,3414,3562,3657,3729
10-Q,RISK_FACTORS,stratum=core,4688,19,21.0,28.0,30.0,43.0,107.0,1950.8,14296.4,34386.9,51295,15,0,0,1462,2247,2794,2909,3004,3174,3287,3416,3523,3608
10-Q,RISK_FACTORS,stratum=extension,1866,19,22.0,24.0,26.0,36.0,58.0,250.0,1096.5,19389.8,26646,15,0,0,821,1164,1399,1468,1526,1606,1669,1721,1749,1765
8-K,8K_BODY,all,210,107,200.4,289.5,302.0,580.8,1093.5,1739.2,4514.1,9066.9,10599,500,43,0,0,0,7,34,43,77,94,142,164,167
8-K,8K_BODY,era<=2018,60,107,161.3,236.8,369.2,650.5,1292.5,4270.2,5689.5,10020.2,10599,500,9,0,0,0,4,7,9,18,19,37,37,38
8-K,8K_BODY,era>=2019,150,180,245.5,301.0,302.0,545.5,1004.5,1643.8,3868.7,5055.1,5578,500,34,0,0,0,3,27,34,59,75,105,127,129
8-K,8K_BODY,stratum=core,196,107,198.1,279.5,302.0,578.0,1093.5,1754.0,4654.0,9307.4,10599,500,42,0,0,0,7,33,42,71,87,134,152,154
8-K,8K_BODY,stratum=extension,14,354,374.4,456.1,526.3,645.2,1189.0,1737.5,2029.0,3337.4,3528,500,1,0,0,0,0,1,1,6,7,8,12,13
8-K,EX99_PRESS_RELEASE,all,10345,67,607.2,1594.4,2379.8,3619.0,5197.0,7018.0,9484.8,19712.0,65483,250,41,0,0,1,41,74,83,153,260,461,758,1691
8-K,EX99_PRESS_RELEASE,era<=2018,3299,67,574.8,1504.8,2237.6,3409.0,5067.0,7058.0,9912.0,22105.3,65483,250,16,0,0,1,16,24,28,56,96,163,278,624
8-K,EX99_PRESS_RELEASE,era>=2019,7046,109,648.2,1656.5,2463.5,3702.2,5255.5,6996.0,9342.5,18635.2,35613,250,25,0,0,0,25,50,55,97,164,298,480,1067
8-K,EX99_PRESS_RELEASE,stratum=core,7451,67,540.0,1610.0,2398.0,3650.5,5233.0,6992.0,9259.0,17055.5,57962,250,31,0,0,1,31,63,71,126,196,338,535,1207
8-K,EX99_PRESS_RELEASE,stratum=extension,2894,108,782.5,1566.0,2360.5,3530.8,5133.5,7098.0,10503.2,21106.1,65483,250,10,0,0,0,10,11,12,27,64,123,223,484
