acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0001193125-23-034197,1136893,"Fidelity National Information Services, Inc.",2023-02-13,7417,48247,0.0,,,
0001510295-26-000060,1510295,Marathon Petroleum Corp,2026-08-04,5991,39081,0.0,,,
0001628280-26-049933,31462,ECOLAB INC.,2026-07-28,6461,42708,0.0,,,
0000037996-20-000056,37996,FORD MOTOR CO,2020-07-31,7403,47204,0.0,,,
0000063908-19-000056,63908,MCDONALDS CORP,2019-07-26,1753,11572,0.0,,,
0001730168-26-000011,1730168,Broadcom Inc.,2026-03-04,3588,23652,0.0,,,
0001090727-20-000019,1090727,UNITED PARCEL SERVICE INC,2020-04-28,3808,25338,0.0,,,
0000320193-20-000094,320193,Apple Inc.,2020-10-29,2032,13958,0.0,,,
0001403161-19-000042,1403161,VISA INC.,2019-10-24,7419,46821,0.0,,,
0000821189-19-000019,821189,EOG RESOURCES INC,2019-05-02,9880,62135,0.0,,,
0000101829-23-000013,101829,RTX Corp,2023-04-25,5278,34957,0.0,,,
0000093410-16-000053,93410,CHEVRON CORP,2016-04-29,2722,17706,0.0,,,
0001157523-17-001395,1358071,CONCHO RESOURCES INC,2017-05-03,5094,32547,0.0,,,
0000062709-18-000029,62709,"MARSH & MCLENNAN COMPANIES, INC.",2018-07-26,6508,38909,0.6306767071885682,supplemental information,Supplemental Information - Revenue Analysis,
0000732712-18-000051,732712,VERIZON COMMUNICATIONS INC,2018-10-23,5974,37733,0.3313810192669547,supplemental information,Supplemental Information - Impact of Topic 606,
0000086521-18-000015,1032208,SEMPRA,2018-02-27,5839,36842,0.0,,,
0001628280-25-044845,19617,JPMORGAN CHASE & CO,2025-10-14,3763,23292,0.0,,,
0000037996-18-000008,37996,FORD MOTOR CO,2018-01-24,3205,19777,0.0,,,
0000831259-19-000015,831259,FREEPORT-MCMORAN INC,2019-04-25,12611,77355,0.0,,,
0000093410-26-000162,93410,CHEVRON CORP,2026-07-31,5012,31621,0.0,,,
0000077476-20-000042,77476,PEPSICO INC,2020-04-28,5178,32680,0.7520807833537332,supplemental financial information,Supplemental Financial Information,
0000313616-20-000091,313616,DANAHER CORP /DE/,2020-05-06,3835,25793,0.0,,,
0000024741-26-000034,24741,CORNING INC /NY,2026-01-28,6894,44389,0.0,,,
0001564590-17-019158,1318605,"Tesla, Inc.",2017-10-02,395,2414,0.0,,,
0001157523-18-000894,1551182,Eaton Corp plc,2018-05-01,2835,18107,0.0,,,
