cik,company_name,accession_number,filing_date,words,inc,ext,head,d2_like
8670,AUTOMATIC DATA PROCESSING INC,0000008670-15-000021,2015-08-07,3110,False,True,"Item 1A. Risk Factors Our businesses routinely encounter and address risks, some of which may cause our future results to be diffe",False
8670,AUTOMATIC DATA PROCESSING INC,0000008670-16-000053,2016-08-05,3577,False,True,"Item 1A. Risk Factors Our businesses routinely encounter and address risks, some of which may cause our future results to be diffe",False
8670,AUTOMATIC DATA PROCESSING INC,0000008670-17-000010,2017-08-04,3935,False,True,"Item 1A. Risk Factors Our businesses routinely encounter and address risks, some of which may cause our future results to be diffe",False
24741,CORNING INC /NY,0000024741-19-000016,2019-02-12,3908,True,False,"Item 1A. Risk Factors ﻿ We operate in rapidly changing economic, political, and technological environments that present numerous r",False
27419,TARGET CORP,0000027419-18-000010,2018-03-14,3986,False,False,Item 1A. Risk Factors Our business is subject to many risks. Set forth below are the material risks we face. Risks are listed in t,False
27419,TARGET CORP,0000027419-19-000006,2019-03-13,3777,False,False,Item 1A. Risk Factors Our business is subject to many risks. Set forth below are the material risks we face. Risks are listed in t,False
29915,DOW CHEMICAL CO /DE/,0000029915-16-000066,2016-02-12,3454,False,False,"Table of Contents The Dow Chemical Company and Subsidiaries PART I, Item 1A. Risk Factors. RISK FACTORS The factors described belo",False
29915,DOW CHEMICAL CO /DE/,0000029915-17-000011,2017-02-09,2481,False,False,"Table of Contents The Dow Chemical Company and Subsidiaries PART I, Item 1A. Risk Factors. RISK FACTORS The factors described belo",False
29915,DOW CHEMICAL CO /DE/,0000029915-18-000007,2018-02-15,2897,False,False,Table of Contents ITEM 1A. RISK FACTORS The factors described below represent the Company's principal risks. Global Economic Consi,False
29915,DOW CHEMICAL CO /DE/,0000029915-19-000008,2019-02-11,2912,False,False,ITEM 1A. RISK FACTORS The factors described below represent the Company's principal risks. Global Economic Considerations: The Com,False
36104,US BANCORP \DE\,0000036104-24-000018,2024-02-20,39,False,True,Item 1A . Risk Factors Information in response to this Item 1A can be found in the 2023 Annual Report on pages 140 to 155 under th,False
36104,US BANCORP \DE\,0000036104-25-000016,2025-02-21,40,False,True,Item 1A . Risk Factors Information in response to this Item 1A can be found in the 2024 Annual Report on pages 136 to 151 under th,False
36104,US BANCORP \DE\,0000036104-26-000011,2026-02-23,39,False,True,Item 1A . Risk Factors Information in response to this Item 1A can be found in the 2025 Annual Report on pages 135 to 150 under th,False
40533,GENERAL DYNAMICS CORP,0000040533-16-000056,2016-02-08,2538,False,True,ITEM 1A. RISK FACTORS An investment in our common stock or debt securities is subject to risks and uncertainties. Investors should,False
