cluster,cluster_n,cik,company_name,form,section_type,reason_code,accession_number,filing_date,error,cur_heading,dash_heading,item_kw_within_60,bare_title_line,kw_anywhere,combined_items_row,combined_items_with_kw,title_then_itemlabel,item_token_count,crossref_index,words,n_anchors,anchor_items,target_in_toc,target_toc_row_has_kw,dialect,probed,weight
4281|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,13,4281,Howmet Aerospace Inc.,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000004281-19-000059,2019-05-01,,0,0,0,0,1,0,0,0,0,0,14417,0,,0,0,D16_kw_present_no_heading_line,2,6.5
4281|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,13,4281,Howmet Aerospace Inc.,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000004281-19-000096,2019-08-02,,0,0,0,0,2,0,0,0,0,0,19291,0,,0,0,D16_kw_present_no_heading_line,2,6.5
4904|10-Q|MDA|item_absent_from_toc,34,4904,AMERICAN ELECTRIC POWER CO INC,10-Q,MDA,item_absent_from_toc,0000004904-17-000060,2017-10-27,,0,0,0,2,10,1,1,0,2,0,79992,7,"1,1A,2,3,4,5,6",1,0,D10_combined_item_toc_row,2,17.0
4904|10-Q|MDA|item_absent_from_toc,34,4904,AMERICAN ELECTRIC POWER CO INC,10-Q,MDA,item_absent_from_toc,0000004904-24-000100,2024-11-06,,1,1,1,2,6,1,1,0,3,0,86031,7,"1,1A,2,3,4,5,6",1,0,D10_combined_item_toc_row,2,17.0
5272|10-Q|MDA|item_absent_from_toc,5,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,MDA,item_absent_from_toc,0000005272-15-000018,2015-11-02,,2,2,3,3,4,0,0,0,122,0,87331,33,"1,1A,2,3,4,6",1,1,D_other_absent,2,2.5
5272|10-K|RISK_FACTORS|item_absent_from_toc,1,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-K,RISK_FACTORS,item_absent_from_toc,0000005272-16-000035,2016-02-19,,11,13,27,15,31,2,0,1,27,0,175942,67,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A",1,1,D_other_absent,1,1.0
5272|10-Q|MDA|item_absent_from_toc,5,5272,"AMERICAN INTERNATIONAL GROUP, INC.",10-Q,MDA,item_absent_from_toc,0000005272-16-000052,2016-11-03,,2,2,3,3,4,0,0,0,139,0,97071,33,"1,1A,2,3,4,6",1,1,D_other_absent,2,2.5
8670|10-Q|MDA|item_absent_from_toc,14,8670,AUTOMATIC DATA PROCESSING INC,10-Q,MDA,item_absent_from_toc,0000008670-19-000005,2019-01-31,,2,3,3,1,3,0,0,0,5,0,22624,23,"1,1A,2,3,4,6",1,1,D_other_absent,2,7.0
8670|10-Q|MDA|item_absent_from_toc,14,8670,AUTOMATIC DATA PROCESSING INC,10-Q,MDA,item_absent_from_toc,0000008670-19-000013,2019-05-03,,2,3,3,1,3,0,0,0,5,0,22967,24,"1,1A,2,3,4,5,6",1,1,D_other_absent,2,7.0
14272|10-K|MDA|item_absent_from_toc,1,14272,BRISTOL MYERS SQUIBB CO,10-K,MDA,item_absent_from_toc,0000014272-16-000288,2016-02-12,,4,4,4,0,4,1,0,0,4,0,72986,2,2,0,0,D11_item_no_not_row_prefix,1,1.0
