rule,sections,raw_paras,canonical,dedup_rate,chunks,sections_zero_chunks,chunks_MDA,chunks_RISK_FACTORS,chunks_EX99_PRESS_RELEASE,chunks_8K_BODY,chunks_core,chunks_extension,chunks_2019plus,chunks_pre2019,variant,hours_at_1068_per_h,overnights_10h
W1_full,28900,1303855,830851,0.3628,199403,5729,113039,48428,37467,469,146569,52834.0,146631,52772,as_is,186.7,18.67
W1_full_core,20832,972109,603226,0.3795,146571,3925,80096,38846,27180,449,146571,,106625,39946,as_is,137.2,13.72
W2_spell_plus12m,19495,861261,568380,0.3401,135351,3924,77270,31598,26046,437,99965,35386.0,100808,34543,as_is,126.7,12.67
W2_spell_plus12m_core,14327,644389,417004,0.3529,99965,2821,55755,24681,19108,421,99965,,73511,26454,as_is,93.6,9.36
W3_spell_only,16029,711867,475588,0.3319,113398,3147,65040,26312,21758,288,83010,30388.0,90153,23245,as_is,106.2,10.62
W3_spell_only_core,11779,527442,346258,0.3435,83010,2303,46580,20306,15852,272,83010,,65474,17536,as_is,77.7,7.77
W1_full,28900,4076349,2991059,0.2662,433798,4199,237865,61217,133879,837,314201,119597.0,290764,143034,reflow_v1,406.2,40.62
W1_full_core,20832,2977013,2150145,0.2778,314211,2815,169756,49116,94549,790,314211,,208177,106034,reflow_v1,294.2,29.42
W2_spell_plus12m,19495,2764040,2079150,0.2478,299294,2904,165663,39521,93353,757,220634,78660.0,202121,97173,reflow_v1,280.2,28.02
W2_spell_plus12m_core,14327,2051842,1529449,0.2546,220641,2048,121053,31060,67797,731,220641,,146300,74341,reflow_v1,206.6,20.66
W3_spell_only,16029,2259734,1704146,0.2459,245901,2371,136387,32489,76499,526,180726,65175.0,181655,64246,reflow_v1,230.2,23.02
W3_spell_only_core,11779,1671176,1251469,0.2511,180734,1688,99115,25293,55826,500,180734,,131906,48828,reflow_v1,169.2,16.92
