cik,company_name,form,section_type,reason_code,n,yr_min,yr_max
21665,COLGATE PALMOLIVE CO,10-Q,MDA,no_toc_and_no_heading_match,34,2015,2026
831001,CITIGROUP INC,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,34,2015,2026
831001,CITIGROUP INC,10-Q,MDA,no_toc_and_no_heading_match,34,2015,2026
827052,EDISON INTERNATIONAL,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,34,2015,2026
827052,EDISON INTERNATIONAL,10-Q,MDA,no_toc_and_no_heading_match,34,2015,2026
1390777,Bank of New York Mellon Corp,10-Q,MDA,item_absent_from_toc,34,2015,2026
4904,AMERICAN ELECTRIC POWER CO INC,10-Q,MDA,item_absent_from_toc,34,2015,2026
32604,EMERSON ELECTRIC CO,10-Q,MDA,no_toc_and_no_heading_match,34,2015,2026
895421,MORGAN STANLEY,10-Q,MDA,item_absent_from_toc,29,2017,2026
32604,EMERSON ELECTRIC CO,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,29,2015,2026
36104,US BANCORP \DE\,10-Q,MDA,no_toc_and_no_heading_match,27,2015,2024
310764,STRYKER CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,17,2015,2021
8670,AUTOMATIC DATA PROCESSING INC,10-Q,MDA,item_absent_from_toc,14,2015,2020
34088,EXXON MOBIL CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,14,2015,2019
310158,"Merck & Co., Inc.",10-Q,RISK_FACTORS,no_toc_and_no_heading_match,13,2015,2019
4281,Howmet Aerospace Inc.,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,13,2015,2019
6769,APACHE CORP,10-Q,MDA,item_absent_from_toc,12,2021,2024
831001,CITIGROUP INC,10-K,RISK_FACTORS,no_toc_and_no_heading_match,11,2016,2026
831259,FREEPORT-MCMORAN INC,10-K,MDA,item_absent_from_toc,11,2016,2026
32604,EMERSON ELECTRIC CO,10-K,MDA,no_toc_and_no_heading_match,11,2015,2025
32604,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,no_toc_and_no_heading_match,11,2015,2025
87347,SLB LIMITED/NV,10-Q,RISK_FACTORS,anchor_span_below_min_chars,11,2016,2019
827052,EDISON INTERNATIONAL,10-K,RISK_FACTORS,no_toc_and_no_heading_match,11,2016,2026
