cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,prose_word_share,source_document,note,year,era
5272,"AMERICAN INTERNATIONAL GROUP, INC.",financials,core,0000005272-16-000035,10-K,2016-02-19,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,maindocument001.htm,,2016,pre2019
14272,BRISTOL MYERS SQUIBB CO,healthcare,core,0000014272-16-000288,10-K,2016-02-12,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,bmy-20151231x10xk.htm,,2016,pre2019
14272,BRISTOL MYERS SQUIBB CO,healthcare,core,0000014272-16-000288,10-K,2016-02-12,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,bmy-20151231x10xk.htm,,2016,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-16-000410,10-K,2016-02-16,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312015.htm,,2016,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-16-000410,10-K,2016-02-16,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312015.htm,,2016,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-17-000041,10-K,2017-02-15,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312016.htm,,2017,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-17-000041,10-K,2017-02-15,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312016.htm,,2017,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-18-000042,10-K,2018-02-15,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312017.htm,,2018,pre2019
18230,CATERPILLAR INC,industrials,extension,0000018230-18-000042,10-K,2018-02-15,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,cat_10-kx12312017.htm,,2018,pre2019
21344,COCA COLA CO,consumer,core,0000021344-17-000009,10-K,2017-02-24,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2016123110-k.htm,,2017,pre2019
21344,COCA COLA CO,consumer,core,0000021344-17-000009,10-K,2017-02-24,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,a2016123110-k.htm,,2017,pre2019
21344,COCA COLA CO,consumer,core,0000021344-18-000008,10-K,2018-02-23,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2017123110-k.htm,,2018,pre2019
21344,COCA COLA CO,consumer,core,0000021344-18-000008,10-K,2018-02-23,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,a2017123110-k.htm,,2018,pre2019
21344,COCA COLA CO,consumer,core,0000021344-19-000014,10-K,2019-02-21,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2018123110-k.htm,,2019,2019plus
21344,COCA COLA CO,consumer,core,0000021344-19-000014,10-K,2019-02-21,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,a2018123110-k.htm,,2019,2019plus
21344,COCA COLA CO,consumer,core,0000021344-20-000006,10-K,2020-02-24,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,a2019123110-k.htm,,2020,2019plus
21344,COCA COLA CO,consumer,core,0000021344-20-000006,10-K,2020-02-24,RISK_FACTORS,FAIL,item_absent_from_toc,none,low,0,0.0,a2019123110-k.htm,,2020,2019plus
24741,CORNING INC /NY,materials_realestate,extension,0000024741-16-000077,10-K,2016-02-12,MDA,FAIL,item_absent_from_toc,none,low,0,0.0,form10k2015.htm,,2016,pre2019
