cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,prose_word_share,tier,why
32604,EMERSON ELECTRIC CO,industrials,extension,0000032604-16-000097,10-Q,2016-08-03,MDA,FAIL,no_toc_and_no_heading_match,none,low,0,0.0,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
320187,"NIKE, Inc.",consumer,core,0000320187-25-000151,10-Q,2025-12-30,MDA,FLAGGED,head_foreign_item,anchor,medium,666,0.1201,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
32604,EMERSON ELECTRIC CO,industrials,extension,0000950103-21-015731,8-K,2021-10-12,8K_BODY,FLAGGED,earnings_item202_prefix_large,item202_slice,medium,2062,0.0,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
1035267,INTUITIVE SURGICAL INC,healthcare,core,0001035267-20-000071,8-K,2020-04-08,EX99_PRESS_RELEASE,FLAGGED,earnings_population_gate,whole_document,medium,1122,0.8128,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
1038357,PIONEER NATURAL RESOURCES CO,energy,core,0001038357-16-000119,8-K,2016-04-18,8K_BODY,FLAGGED,earnings_item202_block_thin,item202_slice,medium,1129,0.3915,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
51143,INTERNATIONAL BUSINESS MACHINES CORP,tech,core,0001047469-18-001117,10-K,2018-02-27,MDA,FLAGGED,mda_stub_unresolved_same_doc,incorporated_by_reference_unresolved,low,13,0.0,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
1099219,METLIFE INC,financials,core,0001099219-23-000041,8-K,2023-02-07,EX99_PRESS_RELEASE,FAIL,empty_after_extraction,none,low,0,0.0,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
1105705,"WARNER MEDIA, LLC",consumer,core,0001193125-18-053619,10-K,2018-02-22,MDA,FLAGGED,mda_stub_resolved,incorporated_by_reference_resolved,medium,47927,0.1008,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
1364742,"BlackRock Finance, Inc.",financials,core,0001564590-17-019389,8-K,2017-10-11,EX99_PRESS_RELEASE,FLAGGED,earnings_supplemental_diluted,whole_document,medium,8451,0.2861,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
87347,SLB LIMITED/NV,energy,core,0001564590-18-024846,10-Q,2018-10-24,RISK_FACTORS,FAIL,anchor_span_below_min_chars,none,low,0,0.0,T3_EXT,"§9.4(3) one-time extension, seed 20260828: every reason_code not in T3 (one each) + SRS fill"
