acc,company,form,section,d9_words,d9_head
0000032604-15-000051,EMERSON ELECTRIC CO,10-K,MDA,4258,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-15-000051,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,7129,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-16-000105,EMERSON ELECTRIC CO,10-K,MDA,28040,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-16-000105,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,31175,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-17-000046,EMERSON ELECTRIC CO,10-K,MDA,27646,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-17-000046,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,30662,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-18-000044,EMERSON ELECTRIC CO,10-K,MDA,28044,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-18-000044,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,31718,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-19-000048,EMERSON ELECTRIC CO,10-K,MDA,28712,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-19-000048,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,32565,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-20-000041,EMERSON ELECTRIC CO,10-K,MDA,29091,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-20-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,33496,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-21-000038,EMERSON ELECTRIC CO,10-K,MDA,27614,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-21-000038,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,32433,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-22-000041,EMERSON ELECTRIC CO,10-K,MDA,32239,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-22-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,37326,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-23-000044,EMERSON ELECTRIC CO,10-K,MDA,33951,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-23-000044,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,38887,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-24-000041,EMERSON ELECTRIC CO,10-K,MDA,35216,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-24-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,41241,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-25-000087,EMERSON ELECTRIC CO,10-K,MDA,32477,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-25-000087,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,38628,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000072741-15-000043,EVERSOURCE ENERGY,10-Q,MDA,32602,ITEM 2 – Management's Discussion and Analysis of Financial Condition and Results of Operations
0001193125-15-281508,APACHE CORP,10-Q,MDA,9099,ITEM 2 – MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0001193125-15-368662,APACHE CORP,10-Q,MDA,8588,ITEM 2 – MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0001562762-16-000383,MERCADOLIBRE INC,10-Q,MDA,11978,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-16-000414,MERCADOLIBRE INC,10-Q,MDA,14820,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-16-000445,MERCADOLIBRE INC,10-Q,MDA,13123,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000054,MERCADOLIBRE INC,10-Q,MDA,7959,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000120,MERCADOLIBRE INC,10-Q,MDA,9293,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-17-000173,MERCADOLIBRE INC,10-Q,MDA,8804,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000158,MERCADOLIBRE INC,10-Q,MDA,6294,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000229,MERCADOLIBRE INC,10-Q,MDA,8107,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-18-000323,MERCADOLIBRE INC,10-Q,MDA,6936,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001562762-19-000123,MERCADOLIBRE INC,10-Q,MDA,5870,Item 2 — Management’s Discussion and Analysis of Financial Condition and Results of Operations
0001784031-22-000010,APACHE CORP,10-K,MDA,19905,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
0001784031-23-000008,APACHE CORP,10-K,MDA,20232,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
0001784031-24-000004,APACHE CORP,10-K,MDA,16505,Item 7—Management’s Discussion and Analysis of Financial Condition and Results of Operations—Capital Resources and
