acc,company,form,section,d9_words,d9_head
0000032604-15-000051,EMERSON ELECTRIC CO,10-K,MDA,646,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-15-000051,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,1873,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-16-000105,EMERSON ELECTRIC CO,10-K,MDA,10535,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-16-000105,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,1909,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-17-000046,EMERSON ELECTRIC CO,10-K,MDA,9944,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-17-000046,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,1891,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-18-000044,EMERSON ELECTRIC CO,10-K,MDA,9890,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-18-000044,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,2507,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-19-000048,EMERSON ELECTRIC CO,10-K,MDA,9430,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-19-000048,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,2635,ITEM 1A - RISK FACTORS Investing in our securities involves risks. We may amend
0000032604-20-000041,EMERSON ELECTRIC CO,10-K,MDA,9976,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-20-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,3216,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-21-000038,EMERSON ELECTRIC CO,10-K,MDA,8952,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-21-000038,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,3659,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-22-000041,EMERSON ELECTRIC CO,10-K,MDA,10859,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-22-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,3902,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-23-000044,EMERSON ELECTRIC CO,10-K,MDA,10811,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-23-000044,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,3873,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-24-000041,EMERSON ELECTRIC CO,10-K,MDA,10690,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-24-000041,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,3891,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000032604-25-000087,EMERSON ELECTRIC CO,10-K,MDA,9800,ITEM 7 - MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
0000032604-25-000087,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,4037,ITEM 1A - RISK FACTORS Investing in our securities involves risks. You should carefully
0000072741-15-000043,EVERSOURCE ENERGY,10-Q,MDA,50,ITEM 2 – Management's Discussion and Analysis of Financial Condition and Results of Operations
0001193125-15-281508,APACHE CORP,10-Q,MDA,7213,ITEM 2 – MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS
