acc,company,filing_date,n_toc,n_matching,n_resolvable,cause,fallback_words
0000002969-24-000043,"Air Products & Chemicals, Inc.",2024-08-01,53,0,0,R1_genuinely_absent_from_toc,
0000002969-25-000013,"Air Products & Chemicals, Inc.",2025-02-06,45,0,0,R1_genuinely_absent_from_toc,
0000005272-16-000041,"AMERICAN INTERNATIONAL GROUP, INC.",2016-05-02,33,3,0,R3_all_dangling,1330.0
0000005272-16-000046,"AMERICAN INTERNATIONAL GROUP, INC.",2016-08-02,33,3,0,R3_all_dangling,1246.0
0000005272-19-000031,"AMERICAN INTERNATIONAL GROUP, INC.",2019-05-07,33,3,0,R3_all_dangling,751.0
0000008670-18-000007,AUTOMATIC DATA PROCESSING INC,2018-05-04,23,3,2,R2_first_dangling_later_resolves,37.0
0000018230-15-000324,CATERPILLAR INC,2015-10-30,21,0,0,R1_genuinely_absent_from_toc,268.0
0000018230-17-000245,CATERPILLAR INC,2017-08-02,21,0,0,R1_genuinely_absent_from_toc,
0000037996-16-000107,FORD MOTOR CO,2016-04-28,10,0,0,R1_genuinely_absent_from_toc,963.0
0000037996-17-000036,FORD MOTOR CO,2017-04-27,8,0,0,R1_genuinely_absent_from_toc,908.0
0000037996-22-000048,FORD MOTOR CO,2022-07-28,9,0,0,R1_genuinely_absent_from_toc,3734.0
0000037996-25-000186,FORD MOTOR CO,2025-10-24,10,0,0,R1_genuinely_absent_from_toc,4228.0
0000037996-26-000086,FORD MOTOR CO,2026-04-30,11,0,0,R1_genuinely_absent_from_toc,3394.0
0000051143-24-000039,INTERNATIONAL BUSINESS MACHINES CORP,2024-07-30,12,0,0,R1_genuinely_absent_from_toc,
0000051143-24-000049,INTERNATIONAL BUSINESS MACHINES CORP,2024-10-30,12,0,0,R1_genuinely_absent_from_toc,
0000055785-17-000067,KIMBERLY CLARK CORP,2017-10-23,10,0,0,R1_genuinely_absent_from_toc,
0000055785-20-000074,KIMBERLY CLARK CORP,2020-10-22,12,0,0,R1_genuinely_absent_from_toc,
0000055785-23-000054,KIMBERLY CLARK CORP,2023-07-25,12,0,0,R1_genuinely_absent_from_toc,
0000072741-19-000026,EVERSOURCE ENERGY,2019-05-07,24,3,1,R2_first_dangling_later_resolves,112.0
0000092230-20-000114,TRUIST FINANCIAL CORP,2020-11-02,4,0,0,R1_genuinely_absent_from_toc,737.0
