acc,company,section,form,cause,n_matching,n_resolvable,f1_words,f2_words,f1_head,f2_head
0000005272-15-000009,"AMERICAN INTERNATIONAL GROUP, INC.",MDA,10-Q,R3_all_anchors_dangling,4,0,,1087,,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations –
0000005272-15-000018,"AMERICAN INTERNATIONAL GROUP, INC.",MDA,10-Q,R3_all_anchors_dangling,4,0,,1318,,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations –
0000005272-16-000035,"AMERICAN INTERNATIONAL GROUP, INC.",RISK_FACTORS,10-K,R3_all_anchors_dangling,3,0,,87428,,Item 1A. Risk Factors — Business and Operations. Variable Annuity Risk Management and Hedging
0000005272-16-000041,"AMERICAN INTERNATIONAL GROUP, INC.",MDA,10-Q,R3_all_anchors_dangling,4,0,,2082,,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations –
0000005272-16-000046,"AMERICAN INTERNATIONAL GROUP, INC.",MDA,10-Q,R3_all_anchors_dangling,4,0,,1563,,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations –
0000005272-16-000052,"AMERICAN INTERNATIONAL GROUP, INC.",MDA,10-Q,R3_all_anchors_dangling,4,0,,1090,,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations –
0000008670-15-000026,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,8841.0,7946,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-16-000030,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,11717.0,10243,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-16-000034,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10358.0,8880,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-16-000059,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,8372.0,7530,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-17-000003,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10695.0,9873,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-17-000005,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10910.0,10088,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-17-000012,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,8063.0,7245,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-18-000003,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10480.0,9657,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-18-000007,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10677.0,9847,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-18-000017,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,8311.0,7492,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-19-000005,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10369.0,9346,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
0000008670-19-000013,AUTOMATIC DATA PROCESSING INC,MDA,10-Q,R2_first_anchor_dangling_later_resolvable,3,2,10345.0,9420,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular,Item 2. Management's Discussion and Analysis of Financial Condition and Results of Operations (Tabular
