tier,why,cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,extraction_method,extraction_confidence,word_count,prose_word_share,year
T1_BASE,SRS over OK rows,2488,ADVANCED MICRO DEVICES INC,tech,core,0000002488-18-000058,8-K,2018-04-25,EX99_PRESS_RELEASE,OK,ok,whole_document,high,3696,0.4578,2018
T1_BASE,SRS over OK rows,21344,COCA COLA CO,consumer,core,0000021344-16-000076,10-Q,2016-10-27,MDA,OK,ok,anchor,high,18966,0.5882,2016
T1_BASE,SRS over OK rows,93410,CHEVRON CORP,energy,core,0000093410-22-000075,10-Q,2022-11-03,RISK_FACTORS,OK,ok,anchor,high,59,0.9153,2022
T1_BASE,SRS over OK rows,313616,DANAHER CORP /DE/,industrials,extension,0000313616-21-000045,10-K,2021-02-25,RISK_FACTORS,OK,ok,anchor,high,14682,0.8656,2021
T1_BASE,SRS over OK rows,769397,"Autodesk, Inc.",tech,core,0000769397-22-000013,8-K,2022-02-24,EX99_PRESS_RELEASE,OK,ok,whole_document,high,5186,0.4443,2022
T1_BASE,SRS over OK rows,813672,CADENCE DESIGN SYSTEMS INC,tech,core,0000813672-21-000028,10-Q,2021-07-26,RISK_FACTORS,OK,ok,anchor,high,13297,0.8436,2021
T1_BASE,SRS over OK rows,1047862,CONSOLIDATED EDISON INC,utilities,extension,0001047862-24-000013,8-K,2024-02-15,EX99_PRESS_RELEASE,OK,ok,whole_document,high,3945,0.5926,2024
T1_BASE,SRS over OK rows,1065280,NETFLIX INC,consumer,core,0001065280-26-000212,10-Q,2026-07-17,MDA,OK,ok,anchor,high,5769,0.6192,2026
T1_BASE,SRS over OK rows,1075531,Booking Holdings Inc.,industrials,extension,0001075531-16-000099,10-Q,2016-05-04,MDA,OK,ok,anchor,high,11643,0.6406,2016
T1_BASE,SRS over OK rows,1099590,MERCADOLIBRE INC,financials,core,0001171843-15-004374,8-K,2015-08-05,EX99_PRESS_RELEASE,OK,ok,whole_document,high,4024,0.3961,2015
T1_BASE,SRS over OK rows,49071,HUMANA INC,healthcare,core,0001193125-16-669144,8-K,2016-08-03,EX99_PRESS_RELEASE,OK,ok,whole_document,high,10826,0.0727,2016
T1_BASE,SRS over OK rows,6769,APACHE CORP,energy,core,0001193125-17-157723,8-K,2017-05-04,EX99_PRESS_RELEASE,OK,ok,whole_document,high,4546,0.0101,2017
T1_BASE,SRS over OK rows,1321655,Palantir Technologies Inc.,tech,core,0001321655-22-000016,10-Q,2022-08-08,RISK_FACTORS,OK,ok,anchor,high,42268,0.8687,2022
T1_BASE,SRS over OK rows,872589,"REGENERON PHARMACEUTICALS, INC.",healthcare,core,0001532176-19-000024,8-K,2019-08-06,EX99_PRESS_RELEASE,OK,ok,whole_document,high,4191,0.3999,2019
T1_BASE,SRS over OK rows,1543151,"Uber Technologies, Inc",financials,core,0001543151-22-000008,10-K,2022-02-24,RISK_FACTORS,OK,ok,anchor,high,35206,0.9029,2022
T1_BASE,SRS over OK rows,1389170,Targa Resources Corp.,energy,core,0001564590-19-003346,8-K,2019-02-20,EX99_PRESS_RELEASE,OK,ok,whole_document,high,9173,0.5482,2019
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",27419,TARGET CORP,consumer,core,0000027419-17-000027,10-Q,2017-08-21,RISK_FACTORS,OK,ok,anchor,high,31,0.0,2017
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",49071,HUMANA INC,healthcare,core,0000049071-17-000143,10-Q,2017-08-02,RISK_FACTORS,OK,ok,anchor,high,19,0.0,2017
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",769397,"Autodesk, Inc.",tech,core,0000769397-17-000031,10-Q,2017-05-31,MDA,OK,ok,anchor,high,12458,0.559,2017
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",895126,EXPAND ENERGY Corp,energy,core,0000895126-16-000516,10-Q,2016-08-04,MDA,OK,ok,anchor,high,14480,0.4695,2016
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",927653,MCKESSON CORP,healthcare,core,0000927653-17-000003,10-Q,2017-01-26,MDA,OK,ok,anchor,high,7722,0.5411,2017
T2_NEWOLD,"pre-2019 periodic, CIK not in E1's 25",1618921,"Walgreens Boots Alliance, Inc.",consumer,core,0001618921-17-000026,10-Q,2017-04-05,MDA,OK,ok,anchor,high,12530,0.4802,2017
T2_NEWOLD,pre-2019 earnings,32604,EMERSON ELECTRIC CO,industrials,extension,0000032604-17-000031,8-K,2017-08-01,EX99_PRESS_RELEASE,OK,ok,whole_document,high,2579,0.4157,2017
T2_NEWOLD,pre-2019 earnings,707549,LAM RESEARCH CORP,tech,core,0000707549-17-000095,8-K,2017-07-26,EX99_PRESS_RELEASE,OK,ok,whole_document,high,3537,0.2061,2017
T2_NEWOLD,pre-2019 earnings,1133421,NORTHROP GRUMMAN CORP /DE/,industrials,extension,0001133421-17-000019,8-K,2017-04-26,EX99_PRESS_RELEASE,OK,ok,whole_document,high,3622,0.2869,2017
T2_NEWOLD,pre-2019 earnings,1276187,Energy Transfer LP,energy,core,0001276187-16-000211,8-K,2016-08-04,EX99_PRESS_RELEASE,OK,ok,whole_document,high,3025,0.4509,2016
T2_NEWOLD,2019+ new filer,1535527,"CrowdStrike Holdings, Inc.",tech,core,0001535527-21-000026,8-K,2021-12-01,EX99_PRESS_RELEASE,OK,ok,whole_document,high,5793,0.3822,2021
T2_NEWOLD,2019+ new filer,1543151,"Uber Technologies, Inc",financials,core,0001543151-20-000029,10-Q,2020-08-07,RISK_FACTORS,OK,ok,anchor,high,34933,0.9192,2020
