total 779  done 0  todo 779
  25/779  10s
  50/779  33s
  75/779  38s
  100/779  44s
  125/779  50s
  150/779  52s
  175/779  62s
  200/779  68s
  225/779  75s
  250/779  79s
  275/779  81s
  300/779  84s
  325/779  88s
  350/779  101s
  375/779  106s
  400/779  112s
  425/779  118s
  450/779  125s
  475/779  132s
  500/779  135s
  525/779  152s
  550/779  168s
  575/779  188s
  600/779  193s
  625/779  196s
  650/779  204s
  675/779  209s
  700/779  217s
  725/779  225s
  750/779  228s
  775/779  231s
DONE 779 rows in 231s
