accession_number,cik,company_name,sector,stratum,form,filing_date,section_type,source_document,verdict,n_toc_entries,n_matching,n_resolvable,shipped_span_is_none,best_source,best_words,best_end_ran_to_eof,rec_words,rec_guarded_words,rec_end_at_eof,end_guard_shortened_span,fb_words,fb_end_at_eof,doc_words,head_char_offset,head_opens_on_item1a,clears_word_floor_15,clears_char_gate_30,guarded_span_still_ends_at_eof,band_p4_0.5-2x_median,band_bimodal_recalibrated,defensible_span,best_head
0001104659-15-055905,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2015-08-04,RISK_FACTORS,a15-11917_110q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,14072,,False,False,,,,,False,
0001104659-15-076189,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2015-11-05,RISK_FACTORS,a15-17845_110q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,14662,,False,False,,,,,False,
0001104659-16-117710,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2016-05-04,RISK_FACTORS,a16-6519_110q.htm,R1_genuinely_absent_from_toc,7,0,0,True,none,,,,,,,,,13319,,False,False,,,,,False,
0001104659-16-154583,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2016-11-03,RISK_FACTORS,a16-17215_110q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,15599,,False,False,,,,,False,
0001104659-17-029430,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2017-05-03,RISK_FACTORS,a17-8899_110q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,14673,,False,False,,,,,False,
0001104659-17-048855,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2017-08-02,RISK_FACTORS,a17-13353_110q.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,17402,,False,False,,,,,False,
0001104659-17-065654,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2017-11-02,RISK_FACTORS,a17-20634_110q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,17632,,False,False,,,,,False,
0001104659-18-029831,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2018-05-02,RISK_FACTORS,a18-8658_110q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,15289,,False,False,,,,,False,
0001104659-18-048736,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2018-08-01,RISK_FACTORS,a18-14086_110q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,16782,,False,False,,,,,False,
0001104659-18-065076,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2018-10-31,RISK_FACTORS,a18-19028_110q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,17523,,False,False,,,,,False,
0001104659-19-026018,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2019-05-01,RISK_FACTORS,a19-7736_110q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,11210,,False,False,,,,,False,
0001410578-19-000606,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2019-07-31,RISK_FACTORS,abt-20190630x10q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,12958,,False,False,,,,,False,
0001104659-19-058323,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2019-10-31,RISK_FACTORS,abt-20190930x10q93748c.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,13236,,False,False,,,,,False,
0001104659-20-087850,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2020-07-29,RISK_FACTORS,abt-20200630x10q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,13163,,False,False,,,,,False,
0001104659-20-121336,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2020-11-04,RISK_FACTORS,abt-20200930x10q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,13426,,False,False,,,,,False,
0001104659-21-061693,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2021-05-05,RISK_FACTORS,abt-20210331x10q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,10180,,False,False,,,,,False,
0001104659-21-100055,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2021-08-04,RISK_FACTORS,abt-20210630x10q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,12819,,False,False,,,,,False,
0001104659-21-133629,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2021-11-03,RISK_FACTORS,abt-20210930x10q.htm,R1_genuinely_absent_from_toc,6,0,0,True,none,,,,,,,,,13106,,False,False,,,,,False,
0001104659-22-055285,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2022-05-03,RISK_FACTORS,abt-20220331x10q.htm,R1_genuinely_absent_from_toc,5,0,0,True,none,,,,,,,,,10298,,False,False,,,,,False,
0001628280-22-020209,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2022-08-02,RISK_FACTORS,abt-20220630.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,12039,,False,False,,,,,False,
0001628280-22-027550,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2022-11-01,RISK_FACTORS,abt-20220930.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,12354,,False,False,,,,,False,
0001628280-23-015699,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2023-05-04,RISK_FACTORS,abt-20230331.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,10063,,False,False,,,,,False,
0001628280-23-027203,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2023-08-03,RISK_FACTORS,abt-20230630.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,12292,,False,False,,,,,False,
0001628280-23-035957,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2023-11-01,RISK_FACTORS,abt-20230930.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,13176,,False,False,,,,,False,
0001628280-24-020011,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2024-05-02,RISK_FACTORS,abt-20240331.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,11448,,False,False,,,,,False,
0001628280-24-033740,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2024-07-31,RISK_FACTORS,abt-20240630.htm,R1_genuinely_absent_from_toc,12,0,0,True,none,,,,,,,,,14316,,False,False,,,,,False,
0001628280-24-044602,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2024-10-31,RISK_FACTORS,abt-20240930.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,14668,,False,False,,,,,False,
0001628280-25-021090,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2025-04-30,RISK_FACTORS,abt-20250331.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,11490,,False,False,,,,,False,
0001628280-25-036720,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2025-07-30,RISK_FACTORS,abt-20250630.htm,R1_genuinely_absent_from_toc,11,0,0,True,none,,,,,,,,,13490,,False,False,,,,,False,
0001628280-25-047131,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2025-10-29,RISK_FACTORS,abt-20250930.htm,R1_genuinely_absent_from_toc,10,0,0,True,none,,,,,,,,,13627,,False,False,,,,,False,
0001628280-26-028357,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2026-04-29,RISK_FACTORS,abt-20260331.htm,R1_genuinely_absent_from_toc,10,0,0,True,none,,,,,,,,,14184,,False,False,,,,,False,
0001628280-26-050134,1800,ABBOTT LABORATORIES,healthcare,core,10-Q,2026-07-28,RISK_FACTORS,abt-20260630.htm,R1_genuinely_absent_from_toc,10,0,0,True,none,,,,,,,,,14826,,False,False,,,,,False,
0001104659-15-057641,1551152,AbbVie Inc.,healthcare,core,10-Q,2015-08-07,RISK_FACTORS,a15-11918_110q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,396.0,0.0,22537,,False,False,,,,,False,
0001104659-15-076607,1551152,AbbVie Inc.,healthcare,core,10-Q,2015-11-06,RISK_FACTORS,a15-17846_110q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,23594,,False,False,,,,,False,
0001104659-16-118639,1551152,AbbVie Inc.,healthcare,core,10-Q,2016-05-06,RISK_FACTORS,a16-6520_110q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,18878,,False,False,,,,,False,
0001104659-16-137453,1551152,AbbVie Inc.,healthcare,core,10-Q,2016-08-05,RISK_FACTORS,a16-11616_110q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,25191,,False,False,,,,,False,
0001551152-16-000005,1551152,AbbVie Inc.,healthcare,core,10-Q,2016-11-07,RISK_FACTORS,abbv-20160930x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,23997,,False,False,,,,,False,
0001551152-17-000016,1551152,AbbVie Inc.,healthcare,core,10-Q,2017-05-05,RISK_FACTORS,abbv-20170331x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,16925,,False,False,,,,,False,
0001551152-17-000025,1551152,AbbVie Inc.,healthcare,core,10-Q,2017-08-07,RISK_FACTORS,abbv-20170630x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,18377,,False,False,,,,,False,
0001551152-17-000035,1551152,AbbVie Inc.,healthcare,core,10-Q,2017-11-07,RISK_FACTORS,abbv-20170930x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,19225,,False,False,,,,,False,
0001551152-18-000025,1551152,AbbVie Inc.,healthcare,core,10-Q,2018-05-04,RISK_FACTORS,abbv-20180331x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,16722,,False,False,,,,,False,
0001551152-18-000032,1551152,AbbVie Inc.,healthcare,core,10-Q,2018-08-07,RISK_FACTORS,abbv-20180630x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,18761,,False,False,,,,,False,
0001551152-18-000042,1551152,AbbVie Inc.,healthcare,core,10-Q,2018-11-07,RISK_FACTORS,abbv-20180930x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,19975,,False,False,,,,,False,
0001551152-19-000016,1551152,AbbVie Inc.,healthcare,core,10-Q,2019-05-03,RISK_FACTORS,abbv-20190331x10q.htm,R1_genuinely_absent_from_toc,14,0,0,True,none,,,,,,,,,15631,,False,False,,,,,False,
0001551152-21-000016,1551152,AbbVie Inc.,healthcare,core,10-Q,2021-05-07,RISK_FACTORS,abbv-20210331.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,17100,,False,False,,,,,False,
0001551152-21-000025,1551152,AbbVie Inc.,healthcare,core,10-Q,2021-08-02,RISK_FACTORS,abbv-20210630.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,20535,,False,False,,,,,False,
0001551152-21-000031,1551152,AbbVie Inc.,healthcare,core,10-Q,2021-11-02,RISK_FACTORS,abbv-20210930.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,21750,,False,False,,,,,False,
0001551152-22-000017,1551152,AbbVie Inc.,healthcare,core,10-Q,2022-05-06,RISK_FACTORS,abbv-20220331.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,16894,,False,False,,,,,False,
0001551152-22-000030,1551152,AbbVie Inc.,healthcare,core,10-Q,2022-08-04,RISK_FACTORS,abbv-20220630.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,19560,,False,False,,,,,False,
0001551152-22-000045,1551152,AbbVie Inc.,healthcare,core,10-Q,2022-11-04,RISK_FACTORS,abbv-20220930.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,20883,,False,False,,,,,False,
0001551152-23-000023,1551152,AbbVie Inc.,healthcare,core,10-Q,2023-05-05,RISK_FACTORS,abbv-20230331.htm,R1_genuinely_absent_from_toc,21,0,0,True,none,,,,,,,,,16131,,False,False,,,,,False,
0001551152-23-000033,1551152,AbbVie Inc.,healthcare,core,10-Q,2023-08-07,RISK_FACTORS,abbv-20230630.htm,R1_genuinely_absent_from_toc,24,0,0,True,none,,,,,,,,,19098,,False,False,,,,,False,
