accession_number,section_type,cik_n,company_name_n,form_n,filing_date_n,bucket,extraction_status_o,extraction_status_n,reason_code_o,reason_code_n,extraction_confidence_o,extraction_confidence_n,extraction_method_o,extraction_method_n,word_count_o,word_count_n
0000002969-17-000010,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2017-01-27,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-17-000019,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2017-04-27,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-17-000031,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2017-08-01,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-18-000014,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2018-01-26,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-18-000026,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2018-04-26,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-18-000034,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2018-07-26,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-19-000014,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2019-01-25,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-19-000029,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2019-04-24,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-19-000042,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2019-07-25,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-20-000010,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2020-01-24,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-21-000012,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2021-02-04,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
0000002969-21-000025,RISK_FACTORS,2969,"Air Products & Chemicals, Inc.",10-Q,2021-05-10,fix2_status_rename,EXPECTED_ABSENT,ITEM_ABSENT_FROM_TOC,item_absent_from_toc,item_absent_from_toc,low,low,none,none,0,0
