accession_number,section_type,form,company_name,last30_words,first500_words,n_matches
0000080424-15-000070,RISK_FACTORS,10-K,PROCTER & GAMBLE Co,39228,3236,2
0000034088-20-000016,RISK_FACTORS,10-K,EXXON MOBIL CORP,30337,2806,8
0000034088-21-000012,RISK_FACTORS,10-K,EXXON MOBIL CORP,32037,254,9
0000034088-22-000011,RISK_FACTORS,10-K,EXXON MOBIL CORP,28793,273,8
0000104169-16-000079,RISK_FACTORS,10-K,Walmart Inc.,7777,14966,2
0000104169-17-000021,RISK_FACTORS,10-K,Walmart Inc.,8037,15209,2
0000034088-16-000065,RISK_FACTORS,10-K,EXXON MOBIL CORP,27287,2208,9
0000034088-17-000017,RISK_FACTORS,10-K,EXXON MOBIL CORP,29107,2255,9
0000034088-18-000015,RISK_FACTORS,10-K,EXXON MOBIL CORP,30394,2578,9
0000034088-19-000010,RISK_FACTORS,10-K,EXXON MOBIL CORP,28950,2679,8
0000723125-15-000112,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,30782,13444,6
0000723125-18-000092,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,25070,17527,4
0000723125-19-000094,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,23672,20132,4
0000723125-16-000269,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,30387,16060,6
0000723125-17-000131,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,27976,15133,6
0000950103-16-011313,RISK_FACTORS,10-K,Shire plc,11322,558,3
0001047469-16-010246,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,3817,2
0001047469-17-000744,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,4077,2
0001047469-18-000856,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,3654,2
0001035002-22-000007,RISK_FACTORS,10-K,VALERO ENERGY CORP/TX,32564,16627,9
0001047469-19-000624,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,3741,2
0001104659-20-023904,RISK_FACTORS,10-K,ABBOTT LABORATORIES,85,3730,2
0001104659-21-025751,RISK_FACTORS,10-K,ABBOTT LABORATORIES,85,4076,3
0001104659-22-025141,RISK_FACTORS,10-K,ABBOTT LABORATORIES,85,7258,4
0001104659-26-018357,RISK_FACTORS,10-K,ECOLAB INC.,44685,6699,3
0001358071-16-000026,RISK_FACTORS,10-K,CONCHO RESOURCES INC,13087,24421,4
0001358071-17-000005,RISK_FACTORS,10-K,CONCHO RESOURCES INC,13698,24560,4
0001558370-18-000707,RISK_FACTORS,10-K,CVS HEALTH Corp,13060,17807,2
0001558370-24-001581,RISK_FACTORS,10-K,ECOLAB INC.,45053,5415,3
0001558370-25-001263,RISK_FACTORS,10-K,ECOLAB INC.,45169,6087,3
0001562762-16-000352,RISK_FACTORS,10-K,MERCADOLIBRE INC,62815,21968,4
0001562762-17-000024,RISK_FACTORS,10-K,MERCADOLIBRE INC,60028,19763,5
0001562762-18-000040,RISK_FACTORS,10-K,MERCADOLIBRE INC,55775,19353,5
0001562762-19-000047,RISK_FACTORS,10-K,MERCADOLIBRE INC,15621,17527,5
0000024741-15-000045,MDA,10-Q,CORNING INC /NY,3361,14899,11
0000024741-15-000058,MDA,10-Q,CORNING INC /NY,3165,14369,11
0000024741-16-000086,MDA,10-Q,CORNING INC /NY,2612,10966,9
0000024741-16-000105,MDA,10-Q,CORNING INC /NY,2868,12849,11
0000024741-16-000118,MDA,10-Q,CORNING INC /NY,3220,13622,11
0000024741-17-000060,MDA,10-Q,CORNING INC /NY,4416,8183,8
0000024741-17-000026,MDA,10-Q,CORNING INC /NY,3873,6823,8
0000024741-17-000050,MDA,10-Q,CORNING INC /NY,4297,8121,10
0000024741-18-000045,MDA,10-Q,CORNING INC /NY,6218,6806,5
0000024741-18-000053,MDA,10-Q,CORNING INC /NY,6259,6844,5
0000723125-18-000036,MDA,10-Q,MICRON TECHNOLOGY INC,513,6599,2
0000732717-16-000160,MDA,10-Q,AT&T INC.,655,10493,20
0000732717-16-000195,MDA,10-Q,AT&T INC.,589,12806,24
0000732717-16-000233,MDA,10-Q,AT&T INC.,469,14805,26
0000732717-17-000055,MDA,10-Q,AT&T INC.,341,11376,23
0000732717-15-000079,MDA,10-Q,AT&T INC.,716,10183,18
0000732717-15-000121,MDA,10-Q,AT&T INC.,819,12116,21
0000732717-17-000080,MDA,10-Q,AT&T INC.,222,13559,25
0000732717-17-000101,MDA,10-Q,AT&T INC.,222,14297,26
0000732717-22-000102,MDA,10-Q,AT&T INC.,290,8633,16
0000732717-23-000022,MDA,10-Q,AT&T INC.,179,5580,13
0000732717-18-000024,MDA,10-Q,AT&T INC.,326,12467,25
0000732717-18-000090,MDA,10-Q,AT&T INC.,233,15326,35
0000732717-20-000056,MDA,10-Q,AT&T INC.,228,12810,25
0000732717-21-000030,MDA,10-Q,AT&T INC.,625,6840,15
0000732717-22-000042,MDA,10-Q,AT&T INC.,751,7640,16
0000732717-22-000093,MDA,10-Q,AT&T INC.,581,8064,15
0000732717-21-000067,MDA,10-Q,AT&T INC.,77,9548,19
0000732717-21-000080,MDA,10-Q,AT&T INC.,123,9452,18
0000732717-19-000018,MDA,10-Q,AT&T INC.,431,9000,20
0000732717-19-000056,MDA,10-Q,AT&T INC.,235,12392,25
0000732717-24-000022,MDA,10-Q,AT&T INC.,398,5169,12
0000732717-24-000053,MDA,10-Q,AT&T INC.,387,6371,13
