accession_number,section_type,form,company_name,last30_words,first500_words
0001562762-21-000027,MDA,10-K,CONOCOPHILLIPS,20487,37153
0001562762-18-000040,MDA,10-K,MERCADOLIBRE INC,28898,43894
0001562762-16-000352,MDA,10-K,MERCADOLIBRE INC,23319,50803
0000950103-16-011313,MDA,10-K,Shire plc,12689,13572
0001562762-19-000047,MDA,10-K,MERCADOLIBRE INC,24664,24681
0001562762-17-000024,MDA,10-K,MERCADOLIBRE INC,28944,44360
0000723125-19-000094,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,23672,20132
0000723125-17-000131,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,27976,15133
0000034088-18-000015,RISK_FACTORS,10-K,EXXON MOBIL CORP,30394,2578
0000723125-15-000112,RISK_FACTORS,10-K,MICRON TECHNOLOGY INC,30782,13444
0001035002-22-000007,RISK_FACTORS,10-K,VALERO ENERGY CORP/TX,32564,16627
0001104659-21-025751,RISK_FACTORS,10-K,ABBOTT LABORATORIES,85,4076
0000034088-22-000011,RISK_FACTORS,10-K,EXXON MOBIL CORP,28793,273
0000034088-19-000010,RISK_FACTORS,10-K,EXXON MOBIL CORP,28950,2679
0001047469-18-000856,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,3654
0001047469-17-000744,RISK_FACTORS,10-K,ABBOTT LABORATORIES,83,4077
0000732717-24-000022,MDA,10-Q,AT&T INC.,398,5169
0000732717-15-000079,MDA,10-Q,AT&T INC.,716,10183
0000024741-17-000060,MDA,10-Q,CORNING INC /NY,4416,8183
0000024741-18-000053,MDA,10-Q,CORNING INC /NY,6259,6844
0000732717-17-000055,MDA,10-Q,AT&T INC.,341,11376
0000024741-15-000045,MDA,10-Q,CORNING INC /NY,3361,14899
0001001039-16-000418,MDA,10-Q,TWDC Enterprises 18 Corp.,13,12182
0001628280-18-001147,MDA,10-Q,TWDC Enterprises 18 Corp.,13,8638
0000024741-17-000026,MDA,10-Q,CORNING INC /NY,3873,6823
0000024741-16-000105,MDA,10-Q,CORNING INC /NY,2868,12849
0001628280-15-008083,RISK_FACTORS,10-Q,Aon plc,77,89
0000723125-17-000037,RISK_FACTORS,10-Q,MICRON TECHNOLOGY INC,7515,14906
0001633917-16-000161,RISK_FACTORS,10-Q,"PayPal Holdings, Inc.",2712,14071
0001558370-16-006167,RISK_FACTORS,10-Q,DEERE & CO,88,3039
0001558370-23-016700,RISK_FACTORS,10-Q,WASTE MANAGEMENT INC,56,9642
0000024741-15-000058,RISK_FACTORS,10-Q,CORNING INC /NY,70,94
0000950103-15-005935,RISK_FACTORS,10-Q,Shire plc,31,390
0000723125-18-000156,RISK_FACTORS,10-Q,MICRON TECHNOLOGY INC,9801,24619
0000024741-15-000045,RISK_FACTORS,10-Q,CORNING INC /NY,69,93
0001065088-20-000030,RISK_FACTORS,10-Q,EBAY INC,16030,26598
0001558370-17-004638,RISK_FACTORS,10-Q,DEERE & CO,88,3036
0001558370-18-007303,RISK_FACTORS,10-Q,DEERE & CO,88,3472
