ticker,acc,form,section,e1_method,f3_method,f3_reason,f3_status,same,e1_words,f3_words
AAPL,0000320193-23-000104,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1467,1467
AAPL,0000320193-23-000106,10-K,MDA,anchor,anchor,ok,OK,True,2487,2487
AAPL,0000320193-23-000106,10-K,RISK_FACTORS,anchor,anchor,ok,OK,True,9797,9797
AAPL,0000320193-24-000005,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1407,1407
AAPL,0000320193-24-000006,10-Q,MDA,anchor,anchor,ok,OK,True,2420,2420
AAPL,0000320193-24-000006,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,664,664
AAPL,0000320193-24-000067,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1525,1525
AAPL,0000320193-24-000069,10-Q,MDA,anchor,anchor,ok,OK,True,2725,2725
AAPL,0000320193-24-000069,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,693,693
AAPL,0000320193-24-000080,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1497,1497
AAPL,0000320193-24-000081,10-Q,MDA,anchor,anchor,ok,OK,True,2830,2830
AAPL,0000320193-24-000081,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,163,163
AAPL,0000320193-24-000120,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1955,1955
AAPL,0000320193-24-000123,10-K,MDA,anchor,anchor,ok,OK,True,2441,2441
AAPL,0000320193-24-000123,10-K,RISK_FACTORS,anchor,anchor,ok,OK,True,9914,9914
AAPL,0000320193-25-000007,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1383,1383
AAPL,0000320193-25-000008,10-Q,MDA,anchor,anchor,ok,OK,True,2485,2485
AAPL,0000320193-25-000008,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,1318,1318
AAPL,0000320193-25-000055,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1492,1492
AAPL,0000320193-25-000057,10-Q,MDA,anchor,anchor,ok,OK,True,3333,3333
AAPL,0000320193-25-000057,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,1792,1792
AAPL,0000320193-25-000071,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1465,1465
AAPL,0000320193-25-000073,10-Q,MDA,anchor,anchor,ok,OK,True,3160,3160
AAPL,0000320193-25-000073,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,171,171
AAPL,0000320193-25-000077,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1973,1973
AAPL,0000320193-25-000079,10-K,MDA,anchor,anchor,ok,OK,True,2805,2805
AAPL,0000320193-25-000079,10-K,RISK_FACTORS,anchor,anchor,ok,OK,True,9784,9784
AAPL,0000320193-26-000005,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1401,1401
AAPL,0000320193-26-000006,10-Q,MDA,anchor,anchor,ok,OK,True,2740,2740
AAPL,0000320193-26-000006,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,66,66
AAPL,0000320193-26-000011,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1542,1542
AAPL,0000320193-26-000013,10-Q,MDA,anchor,anchor,ok,OK,True,3460,3460
AAPL,0000320193-26-000013,10-Q,RISK_FACTORS,anchor,anchor,ok,OK,True,3185,3185
AAPL,0000320193-26-000018,8-K,EX99_PRESS_RELEASE,whole_document,whole_document,ok,OK,True,1489,1489
