form,section_type,slice,n,min,p1,p5,p10,p25,p50,p75,p90,p99,max,current_floor,n_below_current_floor,n_below_15,n_below_50,n_below_100,n_below_250,n_below_400,n_below_500,n_below_750,n_below_1000,n_below_1500,n_below_2000,n_below_3000
10-K,MDA,all,2354,13,32.0,88.4,5861.0,8921.5,12814.5,17675.8,25686.4,70114.0,192558,1500,134,5,88,118,130,130,130,130,132,134,140,167
10-K,MDA,era<=2018,663,13,32.0,43.3,2684.2,9923.0,13940.0,18809.5,26384.2,69472.2,90471,1500,61,4,37,54,58,58,58,58,59,61,64,69
10-K,MDA,era>=2019,1691,13,34.7,2482.5,6062.0,8535.5,12499.0,17147.0,24613.0,70292.5,192558,1500,73,1,51,64,72,72,72,72,73,73,76,98
10-K,MDA,stratum=core,1711,13,35.0,104.0,5537.0,8362.5,12155.0,17085.0,26065.0,63700.4,81945,1500,91,4,58,82,88,88,88,88,89,91,91,116
10-K,MDA,stratum=extension,643,14,28.0,50.0,7290.0,10971.0,14619.0,18792.0,24858.2,146772.4,192558,1500,43,1,30,36,42,42,42,42,43,43,49,51
10-K,RISK_FACTORS,all,2366,13,39.7,3083.0,4001.5,6778.2,10284.5,14124.2,20683.5,45257.9,103639,2000,56,2,36,37,37,37,37,37,38,48,56,105
10-K,RISK_FACTORS,era<=2018,675,29,42.0,2589.5,3239.4,5399.0,8327.0,12846.5,17134.8,42299.6,65705,2000,23,0,10,11,11,11,11,11,12,17,23,50
10-K,RISK_FACTORS,era>=2019,1691,13,39.9,3383.5,4625.0,7336.0,10719.0,14724.0,21704.0,45194.4,103639,2000,33,2,26,26,26,26,26,26,26,31,33,55
10-K,RISK_FACTORS,stratum=core,1714,13,38.0,3385.6,4627.1,7256.2,10867.5,15111.5,23013.7,47904.8,75146,2000,44,2,36,37,37,37,37,37,37,38,44,65
10-K,RISK_FACTORS,stratum=extension,652,985,1395.2,2858.8,3268.1,5554.8,8347.5,11592.0,16423.9,28555.8,103639,2000,12,0,0,0,0,0,0,0,1,10,12,40
10-Q,MDA,all,7197,15,2151.2,4048.6,4922.6,6665.0,9255.0,12913.0,18786.4,54075.0,113427,1000,21,0,13,13,14,17,17,19,21,31,66,141
10-Q,MDA,era<=2018,2329,15,1503.4,3932.8,4921.4,6644.0,9434.0,13439.0,19642.8,62744.8,107676,1000,19,0,12,12,13,16,16,18,19,24,33,57
10-Q,MDA,era>=2019,4868,15,2354.4,4092.7,4924.1,6670.5,9198.0,12645.5,18229.1,51664.7,113427,1000,2,0,1,1,1,1,1,1,2,7,33,84
10-Q,MDA,stratum=core,5165,104,2099.7,3872.2,4752.6,6424.0,8915.0,12651.0,19787.0,62570.6,113427,1000,3,0,0,0,1,1,1,2,3,13,48,113
10-Q,MDA,stratum=extension,2032,15,2643.2,4536.1,5583.2,7275.5,10130.0,13555.2,17645.9,30430.6,47452,1000,18,0,13,13,13,16,16,17,18,18,18,28
10-Q,RISK_FACTORS,all,6625,19,21.2,26.0,29.0,39.0,95.0,938.0,12516.2,31243.0,51295,15,0,0,2302,3430,4231,4415,4569,4829,5007,5197,5333,5436
10-Q,RISK_FACTORS,era<=2018,2048,19,21.0,26.0,29.0,38.0,88.5,719.2,10910.1,23106.0,30656,15,0,0,767,1109,1375,1436,1470,1544,1577,1615,1655,1686
10-Q,RISK_FACTORS,era>=2019,4577,19,22.0,26.0,29.0,40.0,98.0,1026.0,12963.0,34536.4,51295,15,0,0,1535,2321,2856,2979,3099,3285,3430,3582,3678,3750
10-Q,RISK_FACTORS,stratum=core,4745,19,21.0,28.0,30.0,43.0,107.0,1940.0,14251.8,34333.4,51295,15,0,0,1480,2265,2821,2936,3032,3212,3327,3462,3570,3657
10-Q,RISK_FACTORS,stratum=extension,1880,19,22.0,24.0,26.0,36.0,58.0,248.0,1115.0,19377.5,26646,15,0,0,822,1165,1410,1479,1537,1617,1680,1735,1763,1779
8-K,8K_BODY,all,210,107,200.4,289.5,302.0,580.8,1093.5,1739.2,4514.1,9066.9,10599,500,43,0,0,0,7,34,43,77,94,142,164,167
8-K,8K_BODY,era<=2018,60,107,161.3,236.8,369.2,650.5,1292.5,4270.2,5689.5,10020.2,10599,500,9,0,0,0,4,7,9,18,19,37,37,38
8-K,8K_BODY,era>=2019,150,180,245.5,301.0,302.0,545.5,1004.5,1643.8,3868.7,5055.1,5578,500,34,0,0,0,3,27,34,59,75,105,127,129
8-K,8K_BODY,stratum=core,196,107,198.1,279.5,302.0,578.0,1093.5,1754.0,4654.0,9307.4,10599,500,42,0,0,0,7,33,42,71,87,134,152,154
8-K,8K_BODY,stratum=extension,14,354,374.4,456.1,526.3,645.2,1189.0,1737.5,2029.0,3337.4,3528,500,1,0,0,0,0,1,1,6,7,8,12,13
8-K,EX99_PRESS_RELEASE,all,10345,67,607.2,1594.4,2379.8,3619.0,5197.0,7018.0,9484.8,19712.0,65483,250,41,0,0,1,41,74,83,153,260,461,758,1691
8-K,EX99_PRESS_RELEASE,era<=2018,3299,67,574.8,1504.8,2237.6,3409.0,5067.0,7058.0,9912.0,22105.3,65483,250,16,0,0,1,16,24,28,56,96,163,278,624
8-K,EX99_PRESS_RELEASE,era>=2019,7046,109,648.2,1656.5,2463.5,3702.2,5255.5,6996.0,9342.5,18635.2,35613,250,25,0,0,0,25,50,55,97,164,298,480,1067
8-K,EX99_PRESS_RELEASE,stratum=core,7451,67,540.0,1610.0,2398.0,3650.5,5233.0,6992.0,9259.0,17055.5,57962,250,31,0,0,1,31,63,71,126,196,338,535,1207
8-K,EX99_PRESS_RELEASE,stratum=extension,2894,108,782.5,1566.0,2360.5,3530.8,5133.5,7098.0,10503.2,21106.1,65483,250,10,0,0,0,10,11,12,27,64,123,223,484
