cik,company_name,accession_number,filing_date,quarter,quarter_cell_size,section_type,results_signature_present,gate_level,words,prose_word_share,verdict,verdict_note
1800,ABBOTT LABORATORIES,0001104659-17-003920,2017-01-25,2017Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,4775,0.3485,,
1800,ABBOTT LABORATORIES,0001104659-17-024344,2017-04-19,2017Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4084,0.4119,,
2488,ADVANCED MICRO DEVICES INC,0000002488-15-000035,2015-07-06,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1261,0.9183,,
2488,ADVANCED MICRO DEVICES INC,0000002488-15-000040,2015-07-16,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5591,0.54,,
2488,ADVANCED MICRO DEVICES INC,0000002488-18-000014,2018-01-30,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5920,0.5096,,
2488,ADVANCED MICRO DEVICES INC,0000002488-22-000163,2022-10-06,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1927,1.0,,
2488,ADVANCED MICRO DEVICES INC,0000002488-22-000168,2022-11-01,2022Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4423,0.5089,,
2969,"Air Products & Chemicals, Inc.",0000002969-17-000016,2017-04-27,2017Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7272,0.3225,,
2969,"Air Products & Chemicals, Inc.",0001193125-25-006210,2025-01-14,2025Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2324,0.0865,,
2969,"Air Products & Chemicals, Inc.",0000002969-25-000012,2025-02-06,2025Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5559,0.5566,,
4281,Howmet Aerospace Inc.,0001193125-15-249098,2015-07-09,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8877,0.029,,
4281,Howmet Aerospace Inc.,0001193125-15-341364,2015-10-09,2015Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,9797,0.047,,
4281,Howmet Aerospace Inc.,0001193125-15-342830,2015-10-13,2015Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,12740,0.4174,,
4281,Howmet Aerospace Inc.,0001193125-16-428061,2016-01-12,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,11182,0.0443,,
4281,Howmet Aerospace Inc.,0001193125-16-537864,2016-04-12,2016Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7784,0.2013,,
4281,Howmet Aerospace Inc.,0001157523-16-006851,2016-10-11,2016Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10573,0.0,,
4281,Howmet Aerospace Inc.,0001144204-19-005356,2019-02-06,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1114,0.0,,
4281,Howmet Aerospace Inc.,0001157523-19-000268,2019-02-08,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8802,0.0,,
4281,Howmet Aerospace Inc.,0001157523-19-002184,2019-11-05,2019Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7848,0.0417,,
4281,Howmet Aerospace Inc.,0001157523-20-000649,2020-05-05,2020Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6445,0.0763,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-16-437433,2016-01-26,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,4082,0.06,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-16-459857,2016-02-11,2016Q1,3,EX99_PRESS_RELEASE,True,WARN_MULTI,7174,0.057,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-013683,2017-01-20,2017Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,902,0.0,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-043498,2017-02-14,2017Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7918,0.0104,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-128826,2017-04-19,2017Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,550,0.0,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-156268,2017-05-03,2017Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6890,0.0242,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-306449,2017-10-10,2017Q4,3,EX99_PRESS_RELEASE,True,WARN_MULTI,610,0.0672,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-306980,2017-10-10,2017Q4,3,EX99_PRESS_RELEASE,True,WARN_MULTI,610,0.0672,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001193125-17-331048,2017-11-02,2017Q4,3,EX99_PRESS_RELEASE,True,WARN_MULTI,7793,0.0105,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001144204-18-054396,2018-10-18,2018Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,804,0.0,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001144204-18-056472,2018-10-31,2018Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,7568,0.0,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001104659-20-118179,2020-10-26,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1004,0.0,,
5272,"AMERICAN INTERNATIONAL GROUP, INC.",0001104659-20-121833,2020-11-05,2020Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,10319,0.0075,,
10795,BECTON DICKINSON & CO,0000010795-18-000005,2018-02-06,2018Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,3343,0.4993,,
10795,BECTON DICKINSON & CO,0000010795-19-000002,2019-01-17,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2183,0.5506,,
10795,BECTON DICKINSON & CO,0000010795-19-000007,2019-02-05,2019Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,5471,0.3058,,
10795,BECTON DICKINSON & CO,0000010795-21-000013,2021-01-12,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2233,0.7989,,
10795,BECTON DICKINSON & CO,0000010795-21-000025,2021-02-04,2021Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4297,0.5138,,
10795,BECTON DICKINSON & CO,0000010795-22-000038,2022-05-05,2022Q2,3,EX99_PRESS_RELEASE,True,WARN_MULTI,6998,0.3588,,
10795,BECTON DICKINSON & CO,0001628280-25-045106,2025-10-15,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,2882,0.788,,
10795,BECTON DICKINSON & CO,0001628280-25-049835,2025-11-06,2025Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,8183,0.3884,,
10795,BECTON DICKINSON & CO,0001628280-26-031638,2026-05-07,2026Q2,2,EX99_PRESS_RELEASE,True,WARN_MULTI,6300,0.4724,,
12927,BOEING CO,0000012927-15-000050,2015-07-17,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,979,0.7497,,
12927,BOEING CO,0000950123-15-007564,2015-07-22,2015Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4312,0.2572,,
12927,BOEING CO,0000012927-16-000086,2016-01-21,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,655,0.8092,,
12927,BOEING CO,0000950123-16-013052,2016-01-27,2016Q1,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4517,0.286,,
12927,BOEING CO,0000012927-16-000137,2016-07-21,2016Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,856,0.7488,,
12927,BOEING CO,0000950123-16-018547,2016-07-27,2016Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4775,0.2999,,
12927,BOEING CO,0000012927-19-000053,2019-07-18,2019Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,875,0.7211,,
12927,BOEING CO,0000950123-19-006601,2019-07-24,2019Q3,2,EX99_PRESS_RELEASE,True,WARN_MULTI,4560,0.3461,,
12927,BOEING CO,0000012927-24-000067,2024-10-11,2024Q4,2,EX99_PRESS_RELEASE,True,WARN_MULTI,1116,0.9579,,
