rank,batch,chunk_id
1,batch_01,E2CHK-e95cce1305be9672
2,batch_01,E2CHK-d362e4ca7a577757
3,batch_01,E2CHK-956c6b9f57e2ead4
4,batch_01,E2CHK-b1b149916bf054c3
5,batch_01,E2CHK-9a698d7841cf38e1
6,batch_01,E2CHK-929886d5e0ebd1c7
7,batch_01,E2CHK-6cc380482ec83912
8,batch_01,E2CHK-cbc20c904f8df8d3
9,batch_01,E2CHK-dca07e8a0cfcc7fc
10,batch_01,E2CHK-b2b6e598b970440d
11,batch_01,E2CHK-95302e9d5038ecb7
12,batch_01,E2CHK-de71dbbf03a6cb3b
13,batch_01,E2CHK-0a1e6bc58dcb27b9
14,batch_01,E2CHK-7cf166c90d16c427
15,batch_01,E2CHK-6e4254f9fdb388cf
16,batch_01,E2CHK-8982301fb0df590d
17,batch_01,E2CHK-3f6dd03f4afc17ac
18,batch_01,E2CHK-15e70797e348a069
19,batch_01,E2CHK-0ce0f271a0db498d
20,batch_01,E2CHK-9139331d59f2a3fc
21,batch_01,E2CHK-89e59fcfd1838f56
22,batch_01,E2CHK-c767fe89c45aa50e
23,batch_01,E2CHK-2d804a444b2f09ff
24,batch_01,E2CHK-9ed330a5a63136c9
25,batch_01,E2CHK-d1fd9daf1bcbb960
26,batch_01,E2CHK-e4e6078c39f54dcb
27,batch_01,E2CHK-195c4f302b0636bf
28,batch_01,E2CHK-3063008745090369
29,batch_01,E2CHK-35bc809ea7b329f2
30,batch_01,E2CHK-57f1f5e507653634
31,batch_01,E2CHK-b43feaec8f15b532
32,batch_01,E2CHK-b59a71de64bc8dd2
33,batch_01,E2CHK-329aeb2738643931
34,batch_01,E2CHK-dd1e072a90628a46
35,batch_01,E2CHK-dfb41597a10fbecc
36,batch_01,E2CHK-33721641585dfae7
37,batch_01,E2CHK-acfd0b27f95008e6
38,batch_01,E2CHK-4ae73e0d138c26d6
39,batch_01,E2CHK-0d399f1a44b9ff50
40,batch_01,E2CHK-b07a012e3e8ea9d9
41,batch_02,E2CHK-172fa46a881240b8
42,batch_02,E2CHK-29ac271263df3df6
43,batch_02,E2CHK-4a09f1e27e3728d1
44,batch_02,E2CHK-53c7e256395f4d8f
45,batch_02,E2CHK-bcbc336fcdc592a8
46,batch_02,E2CHK-88e6b4cd70890339
47,batch_02,E2CHK-fefe96f00b0ea62b
48,batch_02,E2CHK-87f57fbbc1cc2552
49,batch_02,E2CHK-47b59f02a9d04e58
50,batch_02,E2CHK-393f0304159e7889
51,batch_02,E2CHK-3a0b7583ac8b8576
52,batch_02,E2CHK-e3275402293c7fcd
53,batch_02,E2CHK-48fb63493724f20b
54,batch_02,E2CHK-abdb9939c188bdd9
55,batch_02,E2CHK-1590b0e6ab37b7ec
56,batch_02,E2CHK-00117e52ac2439f5
57,batch_02,E2CHK-f81e3b8d6f822db5
58,batch_02,E2CHK-201551dd7e7402f9
59,batch_02,E2CHK-c139014881563565
60,batch_02,E2CHK-449091ac3604b0b8
61,batch_02,E2CHK-0bb11031c6b11b44
62,batch_02,E2CHK-d9f61da52aae4de1
63,batch_02,E2CHK-3740473cb4963ab2
64,batch_02,E2CHK-2a22fec2e02a07c5
65,batch_02,E2CHK-3d8d81d5cbe61eea
66,batch_02,E2CHK-7135ee2f5472798a
67,batch_02,E2CHK-f03ac52ac0c52612
68,batch_02,E2CHK-da79ee3a68b6f33b
69,batch_02,E2CHK-5a146f06e6a88b39
70,batch_02,E2CHK-abb5c701902a9312
71,batch_02,E2CHK-3d88cb8be0efa81b
72,batch_02,E2CHK-edf87b2927bbfe56
73,batch_02,E2CHK-afff31715a26e99a
74,batch_02,E2CHK-77c46216c8b8d81c
75,batch_02,E2CHK-14fd6824e0d8dca2
76,batch_02,E2CHK-f9432f5f81cbaf38
77,batch_02,E2CHK-54bfd57dab0bd838
78,batch_02,E2CHK-1cd95351e98782f0
79,batch_02,E2CHK-9e741f22d43db9dc
80,batch_02,E2CHK-bca3b03f7b2bff0c
81,batch_03,E2CHK-029cacf977677928
82,batch_03,E2CHK-179659419a317bb8
83,batch_03,E2CHK-2242ad1a4dcf8dc6
84,batch_03,E2CHK-e8130f4d89611677
85,batch_03,E2CHK-0ff998b6c50a9346
86,batch_03,E2CHK-0138602f200d6bcb
87,batch_03,E2CHK-73e3779070c4708b
88,batch_03,E2CHK-3f14cf282cf504e8
89,batch_03,E2CHK-ede5e91ded28ccec
90,batch_03,E2CHK-2c560e160d8cc5fa
91,batch_03,E2CHK-ce81df3c1d189fa0
92,batch_03,E2CHK-550b26b892978c38
93,batch_03,E2CHK-b5938d5890004829
94,batch_03,E2CHK-455a18a01debc20e
95,batch_03,E2CHK-981150c4aaf1bb55
96,batch_03,E2CHK-0a490c61fd366acd
97,batch_03,E2CHK-7c64c6fdd613a5c7
98,batch_03,E2CHK-4028f289789d161f
99,batch_03,E2CHK-5dd027bd6846ceea
100,batch_03,E2CHK-49aba42cc836f768
101,batch_03,E2CHK-06c24ba30f05e054
102,batch_03,E2CHK-7cec415877164dcc
103,batch_03,E2CHK-48d213746b0714d9
104,batch_03,E2CHK-6696be4c00546807
105,batch_03,E2CHK-ebf630ae3d0d7af0
106,batch_03,E2CHK-2d7441c53c60f4c0
107,batch_03,E2CHK-c977a4bb6d59c876
108,batch_03,E2CHK-f6a23b28398da366
109,batch_03,E2CHK-bb7411e77a7defc8
110,batch_03,E2CHK-fe194dd32c53c66e
111,batch_03,E2CHK-d04e735f336c15ab
112,batch_03,E2CHK-b40217ffa63a7cc5
113,batch_03,E2CHK-dda4c12bfebdaf25
114,batch_03,E2CHK-bc8f68735967cd5a
115,batch_03,E2CHK-9d439514c919670f
116,batch_03,E2CHK-0d980c1e7832cb26
117,batch_03,E2CHK-040942506845bb80
118,batch_03,E2CHK-3908a11bb590546a
119,batch_03,E2CHK-1cf736b21f979401
120,batch_03,E2CHK-19cbfdfda539b797
121,batch_04,E2CHK-19ad521422007e91
122,batch_04,E2CHK-a225b4072d490e6c
123,batch_04,E2CHK-1b61fb852a9073cf
124,batch_04,E2CHK-bc038b02a2c83033
125,batch_04,E2CHK-5d8161de3b3f9c3b
126,batch_04,E2CHK-a9f86731756ad5f6
127,batch_04,E2CHK-0e5a3607c3c9800c
128,batch_04,E2CHK-53e99d12cc4a1b19
129,batch_04,E2CHK-31b8211bed9cfbbd
130,batch_04,E2CHK-4cdb7b3bd5bdbf68
131,batch_04,E2CHK-af6972d4c50c8ae4
132,batch_04,E2CHK-dd331ef2080052ca
133,batch_04,E2CHK-ecd2ca41b77ee42f
134,batch_04,E2CHK-a57195ed78f3ce4a
135,batch_04,E2CHK-6f6b16b9fef5ebe1
136,batch_04,E2CHK-612ed6e9da9b6228
137,batch_04,E2CHK-590c3420f7ec83ae
138,batch_04,E2CHK-2dcd9a2066668174
139,batch_04,E2CHK-6d6cbe1c97c42ece
140,batch_04,E2CHK-c089f2181e437662
141,batch_04,E2CHK-77f9908e5dafd434
142,batch_04,E2CHK-449e8722b0f09e0f
143,batch_04,E2CHK-c27d0b89e44af924
144,batch_04,E2CHK-6dff99229d098d2a
145,batch_04,E2CHK-dd50b2c4f9f94871
146,batch_04,E2CHK-d97abfc5a21f6bad
147,batch_04,E2CHK-4b9157b50c939a1c
148,batch_04,E2CHK-4fba9689f1451f83
149,batch_04,E2CHK-35b96df4fe0b07b7
150,batch_04,E2CHK-f307072f2f01f95c
