rank,batch,arm,chunk_id,section_type,home_sector,home_cik,home_company_name,home_filing_date,word_count,n_source_filings,in_member_spell,home_extraction_status,home_extraction_confidence,passage_was_head_truncated,train_overlap,selfid
1,batch_01,P,E2CHK-e95cce1305be9672,MDA,healthcare,927653,MCKESSON CORP,2024-11-07,388,2,False,OK,high,False,False,True
2,batch_01,P,E2CHK-d362e4ca7a577757,EX99_PRESS_RELEASE,consumer,109198,TJX COMPANIES INC /DE/,2020-11-18,363,1,False,OK,high,False,False,True
3,batch_01,P,E2CHK-956c6b9f57e2ead4,MDA,energy,1276187,Energy Transfer LP,2022-11-03,359,1,True,OK,high,False,False,False
4,batch_01,P,E2CHK-b1b149916bf054c3,EX99_PRESS_RELEASE,healthcare,872589,"REGENERON PHARMACEUTICALS, INC.",2015-08-04,480,8,False,OK,high,False,False,True
5,batch_01,P,E2CHK-9a698d7841cf38e1,EX99_PRESS_RELEASE,consumer,21344,COCA COLA CO,2016-10-26,364,1,True,OK,high,False,False,True
6,batch_01,G-N,E2CHK-929886d5e0ebd1c7,EX99_PRESS_RELEASE,financials,36104,US BANCORP \DE\,2023-07-19,396,1,True,OK,high,False,False,False
7,batch_01,P,E2CHK-6cc380482ec83912,RISK_FACTORS,tech,106040,WESTERN DIGITAL CORP,2021-08-27,423,2,False,OK,high,False,False,False
8,batch_01,G-A,E2CHK-cbc20c904f8df8d3,EX99_PRESS_RELEASE,tech,896878,INTUIT INC.,2018-05-22,381,1,True,OK,high,False,False,True
9,batch_01,P,E2CHK-dca07e8a0cfcc7fc,MDA,energy,1276187,Energy Transfer LP,2022-08-04,368,1,True,OK,high,False,False,False
10,batch_01,P,E2CHK-b2b6e598b970440d,MDA,healthcare,816284,CELGENE CORP /DE/,2016-05-03,375,1,False,OK,high,False,False,False
11,batch_01,G-A,E2CHK-95302e9d5038ecb7,EX99_PRESS_RELEASE,energy,6769,APACHE CORP,2018-05-03,389,1,True,OK,high,False,False,True
12,batch_01,G-A,E2CHK-de71dbbf03a6cb3b,EX99_PRESS_RELEASE,tech,47217,HP INC,2024-05-29,420,1,False,OK,high,False,False,False
13,batch_01,P,E2CHK-0a1e6bc58dcb27b9,EX99_PRESS_RELEASE,healthcare,1682852,"Moderna, Inc.",2021-01-04,406,1,False,FLAGGED,medium,False,False,False
14,batch_01,P,E2CHK-7cf166c90d16c427,MDA,consumer,77476,PEPSICO INC,2022-10-12,367,1,True,OK,high,False,False,True
15,batch_01,P,E2CHK-6e4254f9fdb388cf,MDA,financials,19617,JPMORGAN CHASE & CO,2019-05-02,457,4,True,OK,high,False,False,True
16,batch_01,P,E2CHK-8982301fb0df590d,MDA,financials,1404912,KKR & Co. Inc.,2015-08-07,412,6,False,OK,high,False,False,False
17,batch_01,G-A,E2CHK-3f6dd03f4afc17ac,EX99_PRESS_RELEASE,healthcare,1613103,Medtronic plc,2015-09-03,507,27,False,OK,high,False,False,True
