chunk_id,arm
E2CHK-e95cce1305be9672,P
E2CHK-d362e4ca7a577757,P
E2CHK-956c6b9f57e2ead4,P
E2CHK-b1b149916bf054c3,P
E2CHK-9a698d7841cf38e1,P
E2CHK-929886d5e0ebd1c7,G-N
E2CHK-6cc380482ec83912,P
E2CHK-cbc20c904f8df8d3,G-A
E2CHK-dca07e8a0cfcc7fc,P
E2CHK-b2b6e598b970440d,P
E2CHK-95302e9d5038ecb7,G-A
E2CHK-de71dbbf03a6cb3b,G-A
E2CHK-0a1e6bc58dcb27b9,P
E2CHK-7cf166c90d16c427,P
E2CHK-6e4254f9fdb388cf,P
E2CHK-8982301fb0df590d,P
E2CHK-3f6dd03f4afc17ac,G-A
E2CHK-15e70797e348a069,G-N
E2CHK-0ce0f271a0db498d,P
E2CHK-9139331d59f2a3fc,G-N
E2CHK-89e59fcfd1838f56,P
E2CHK-c767fe89c45aa50e,P
E2CHK-2d804a444b2f09ff,P
E2CHK-9ed330a5a63136c9,G-A
E2CHK-d1fd9daf1bcbb960,P
E2CHK-e4e6078c39f54dcb,P
E2CHK-195c4f302b0636bf,G-A
E2CHK-3063008745090369,G-N
E2CHK-35bc809ea7b329f2,P
E2CHK-57f1f5e507653634,P
E2CHK-b43feaec8f15b532,P
E2CHK-b59a71de64bc8dd2,G-N
E2CHK-329aeb2738643931,G-A
E2CHK-dd1e072a90628a46,P
E2CHK-dfb41597a10fbecc,P
E2CHK-33721641585dfae7,P
E2CHK-acfd0b27f95008e6,P
E2CHK-4ae73e0d138c26d6,P
E2CHK-0d399f1a44b9ff50,G-A
E2CHK-b07a012e3e8ea9d9,P
E2CHK-172fa46a881240b8,P
E2CHK-29ac271263df3df6,P
E2CHK-4a09f1e27e3728d1,P
E2CHK-53c7e256395f4d8f,P
E2CHK-bcbc336fcdc592a8,P
E2CHK-88e6b4cd70890339,P
E2CHK-fefe96f00b0ea62b,P
E2CHK-87f57fbbc1cc2552,G-A
E2CHK-47b59f02a9d04e58,P
E2CHK-393f0304159e7889,P
E2CHK-3a0b7583ac8b8576,P
E2CHK-e3275402293c7fcd,P
E2CHK-48fb63493724f20b,G-A
E2CHK-abdb9939c188bdd9,P
E2CHK-1590b0e6ab37b7ec,P
E2CHK-00117e52ac2439f5,G-N
E2CHK-f81e3b8d6f822db5,P
E2CHK-201551dd7e7402f9,P
E2CHK-c139014881563565,P
E2CHK-449091ac3604b0b8,P
E2CHK-0bb11031c6b11b44,P
E2CHK-d9f61da52aae4de1,G-A
E2CHK-3740473cb4963ab2,P
E2CHK-2a22fec2e02a07c5,P
E2CHK-3d8d81d5cbe61eea,G-N
E2CHK-7135ee2f5472798a,P
E2CHK-f03ac52ac0c52612,G-A
E2CHK-da79ee3a68b6f33b,P
E2CHK-5a146f06e6a88b39,P
E2CHK-abb5c701902a9312,G-N
E2CHK-3d88cb8be0efa81b,G-N
E2CHK-edf87b2927bbfe56,P
E2CHK-afff31715a26e99a,P
E2CHK-77c46216c8b8d81c,P
E2CHK-14fd6824e0d8dca2,P
E2CHK-f9432f5f81cbaf38,P
E2CHK-54bfd57dab0bd838,P
E2CHK-1cd95351e98782f0,G-A
E2CHK-9e741f22d43db9dc,P
E2CHK-bca3b03f7b2bff0c,G-N
E2CHK-029cacf977677928,P
E2CHK-179659419a317bb8,G-A
E2CHK-2242ad1a4dcf8dc6,P
E2CHK-e8130f4d89611677,G-A
E2CHK-0ff998b6c50a9346,P
E2CHK-0138602f200d6bcb,G-A
E2CHK-73e3779070c4708b,P
E2CHK-3f14cf282cf504e8,G-A
E2CHK-ede5e91ded28ccec,P
E2CHK-2c560e160d8cc5fa,G-A
E2CHK-ce81df3c1d189fa0,P
E2CHK-550b26b892978c38,G-A
E2CHK-b5938d5890004829,P
E2CHK-455a18a01debc20e,P
E2CHK-981150c4aaf1bb55,G-N
E2CHK-0a490c61fd366acd,P
E2CHK-7c64c6fdd613a5c7,P
E2CHK-4028f289789d161f,P
E2CHK-5dd027bd6846ceea,P
E2CHK-49aba42cc836f768,G-A
E2CHK-06c24ba30f05e054,P
E2CHK-7cec415877164dcc,P
E2CHK-48d213746b0714d9,G-N
E2CHK-6696be4c00546807,G-A
E2CHK-ebf630ae3d0d7af0,P
E2CHK-2d7441c53c60f4c0,P
E2CHK-c977a4bb6d59c876,P
E2CHK-f6a23b28398da366,P
E2CHK-bb7411e77a7defc8,P
E2CHK-fe194dd32c53c66e,G-A
E2CHK-d04e735f336c15ab,G-A
E2CHK-b40217ffa63a7cc5,G-N
E2CHK-dda4c12bfebdaf25,P
E2CHK-bc8f68735967cd5a,P
E2CHK-9d439514c919670f,P
E2CHK-0d980c1e7832cb26,G-A
E2CHK-040942506845bb80,P
E2CHK-3908a11bb590546a,P
E2CHK-1cf736b21f979401,P
E2CHK-19cbfdfda539b797,G-N
E2CHK-19ad521422007e91,P
E2CHK-a225b4072d490e6c,P
E2CHK-1b61fb852a9073cf,P
E2CHK-bc038b02a2c83033,P
E2CHK-5d8161de3b3f9c3b,P
E2CHK-a9f86731756ad5f6,G-N
E2CHK-0e5a3607c3c9800c,P
E2CHK-53e99d12cc4a1b19,G-A
E2CHK-31b8211bed9cfbbd,P
E2CHK-4cdb7b3bd5bdbf68,G-N
E2CHK-af6972d4c50c8ae4,P
E2CHK-dd331ef2080052ca,P
E2CHK-ecd2ca41b77ee42f,P
E2CHK-a57195ed78f3ce4a,G-N
E2CHK-6f6b16b9fef5ebe1,P
E2CHK-612ed6e9da9b6228,P
E2CHK-590c3420f7ec83ae,G-A
E2CHK-2dcd9a2066668174,G-A
E2CHK-6d6cbe1c97c42ece,P
E2CHK-c089f2181e437662,P
E2CHK-77f9908e5dafd434,G-A
E2CHK-449e8722b0f09e0f,P
E2CHK-c27d0b89e44af924,P
E2CHK-6dff99229d098d2a,G-A
E2CHK-dd50b2c4f9f94871,P
E2CHK-d97abfc5a21f6bad,P
E2CHK-4b9157b50c939a1c,G-A
E2CHK-4fba9689f1451f83,P
E2CHK-35b96df4fe0b07b7,G-A
E2CHK-f307072f2f01f95c,G-N
E2CHK-7cb0f09c65a20a4d,P
E2CHK-5349d923bae4dbc4,P
E2CHK-764c32ef6b23e214,P
E2CHK-75e59541bf13eef1,P
E2CHK-2683c59700eec6d3,G-N
E2CHK-9ad4bde75766e863,G-A
E2CHK-edde638aa45bde93,P
E2CHK-f543a4e7fa46e6a9,P
E2CHK-e43b2a29330089de,P
E2CHK-a88fc19db7efd8fd,P
E2CHK-c05ee28d8225d0e1,P
E2CHK-13ebd9ae899dd431,P
E2CHK-3274b39619182ca1,G-N
E2CHK-13118269fc011a43,P
E2CHK-8c2d90c779858e69,P
E2CHK-92b5ae844ca9544a,P
E2CHK-81ff37be2806b9f7,G-N
E2CHK-8b4adcb77ee14fc7,P
E2CHK-dba86b67aed203e7,P
E2CHK-f5aead7b295a4214,P
E2CHK-acddff2c116c5a83,P
E2CHK-ce05ab29a032e87c,P
E2CHK-ceb9863fd10544fc,P
E2CHK-6adeacfab14b3a04,P
E2CHK-2f6acdcaa4a8e138,G-A
E2CHK-af98d865cf1fcf87,P
E2CHK-ffa7fb0f06f1083a,P
E2CHK-5e3b77980f37a428,P
E2CHK-5f1d29616874765b,P
E2CHK-0e6ec714c7d46167,P
E2CHK-a8a44197eba3d453,G-N
E2CHK-0a2e1bb1a048802c,P
E2CHK-948020f4453dd89b,P
E2CHK-7afaf199e0e3971d,P
E2CHK-d86d1e815ab6bd10,P
E2CHK-9342fa8457cfb895,P
E2CHK-93b76cc89e748627,P
E2CHK-cf5aa0cd9c95e4ee,G-A
E2CHK-36601e12c6b3177a,G-N
E2CHK-98514b8d6cf9814e,P
E2CHK-775fa52ea1fa1820,G-N
E2CHK-cc4180ed654b42de,P
E2CHK-69e7f9286d88e13e,P
E2CHK-62b7f78ac141c48d,G-A
E2CHK-eb7faaec93ffd0cd,P
E2CHK-a83e92e090af3dc2,G-N
E2CHK-763089c60ee1cbfd,G-N
E2CHK-a888d45cb28cf251,P
E2CHK-bbf21eef4bdca577,G-A
E2CHK-9cbbbb12bdc63272,P
E2CHK-2330859487453986,G-A
E2CHK-d2925dad3092fd9d,P
E2CHK-9b0e481826b4b02a,P
E2CHK-9c96d5f4645c6f17,G-N
E2CHK-5ae45af46e4a0558,P
E2CHK-a45c7eb727c18fd4,P
E2CHK-f8154d76409080a3,G-A
E2CHK-375cc9f65b5f4ca2,P
E2CHK-34ae3ecc75458c4c,G-A
E2CHK-b9cbe918d3cead0a,G-A
E2CHK-df17fa866f5ea2bc,P
E2CHK-48a62fd38118e54c,P
