cik,family,tag,as_of,period_end,days_stale
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-26,2016-12-31,207
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-03,2016-12-31,215
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-10-25,2016-12-31,298
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-11-07,2016-12-31,311
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-12-08,2016-12-31,342
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-12-22,2016-12-31,356
4447,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-02-05,2016-12-31,401
6769,eps_diluted,EarningsPerShareDiluted,2017-05-04,2016-09-30,216
6951,revenue,Revenues,2016-07-25,2011-07-31,1821
6951,revenue,Revenues,2016-08-18,2011-07-31,1845
6951,revenue,Revenues,2016-08-25,2011-07-31,1852
6951,revenue,Revenues,2016-09-20,2011-07-31,1878
6951,revenue,Revenues,2016-11-17,2011-07-31,1936
6951,revenue,Revenues,2016-12-15,2011-07-31,1964
6951,revenue,Revenues,2017-02-15,2011-07-31,2026
6951,revenue,Revenues,2017-02-23,2011-07-31,2034
6951,revenue,Revenues,2017-03-10,2011-07-31,2049
6951,revenue,Revenues,2017-03-30,2011-07-31,2069
6951,revenue,Revenues,2017-03-31,2011-07-31,2070
6951,revenue,Revenues,2017-04-03,2011-07-31,2073
6951,revenue,Revenues,2017-05-18,2011-07-31,2118
6951,revenue,Revenues,2017-05-25,2011-07-31,2125
6951,revenue,Revenues,2017-07-25,2011-07-31,2186
6951,revenue,Revenues,2017-08-17,2011-07-31,2209
6951,revenue,Revenues,2017-08-24,2011-07-31,2216
6951,revenue,Revenues,2017-09-05,2011-07-31,2228
6951,revenue,Revenues,2017-11-16,2011-07-31,2300
6951,revenue,Revenues,2017-12-15,2011-07-31,2329
6951,revenue,Revenues,2018-01-23,2011-07-31,2368
6951,revenue,Revenues,2018-02-14,2011-07-31,2390
6951,revenue,Revenues,2018-02-22,2011-07-31,2398
6951,revenue,Revenues,2018-03-09,2011-07-31,2413
6951,revenue,Revenues,2018-05-17,2011-07-31,2482
6951,revenue,Revenues,2018-05-24,2011-07-31,2489
6951,revenue,Revenues,2018-08-16,2011-07-31,2573
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-07-25,2017-12-31,206
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-07-26,2017-12-31,207
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-08-31,2017-12-31,243
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-10-18,2017-12-31,291
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-10-30,2017-12-31,303
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-12-06,2017-12-31,340
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-01-08,2017-12-31,373
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-02-14,2017-12-31,410
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-07-23,2018-12-31,204
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-07-25,2018-12-31,206
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-09-09,2018-12-31,252
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-09-20,2018-12-31,263
21344,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-10-18,2018-12-31,291
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-29,2013-06-30,1125
34088,revenue,Revenues,2016-07-29,2015-12-31,211
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-03,2013-06-30,1130
34088,revenue,Revenues,2016-08-03,2015-12-31,216
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-28,2013-06-30,1216
34088,revenue,Revenues,2016-10-28,2015-12-31,302
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-01,2013-06-30,1220
34088,revenue,Revenues,2016-11-01,2015-12-31,306
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-03,2013-06-30,1222
34088,revenue,Revenues,2016-11-03,2015-12-31,308
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-06,2013-06-30,1255
34088,revenue,Revenues,2016-12-06,2015-12-31,341
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-16,2013-06-30,1265
34088,revenue,Revenues,2016-12-16,2015-12-31,351
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-04,2013-06-30,1284
34088,revenue,Revenues,2017-01-04,2015-12-31,370
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-17,2013-06-30,1297
34088,revenue,Revenues,2017-01-17,2015-12-31,383
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-26,2013-06-30,1306
34088,revenue,Revenues,2017-01-26,2015-12-31,392
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-31,2013-06-30,1311
34088,revenue,Revenues,2017-01-31,2015-12-31,397
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-22,2013-06-30,1333
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-23,2013-06-30,1334
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-07,2013-06-30,1346
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-27,2013-06-30,1366
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-28,2013-06-30,1398
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-03,2013-06-30,1403
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-06,2013-06-30,1437
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-28,2013-06-30,1489
34088,revenue,Revenues,2017-07-28,2016-12-31,209
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-02,2013-06-30,1494
34088,revenue,Revenues,2017-08-02,2016-12-31,214
34088,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-10-27,2013-06-30,1580
