cik,sector,family,state,severity,coverage,tags_seen,n_rows_affected,features_affected
45012,energy,cash,OVERLAP,UNRESOLVED,1.0,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,144,cash_to_assets
50863,tech,cash,OVERLAP,UNRESOLVED,0.9091,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations|Cash,208,cash_to_assets
1103982,consumer,cash,PARTIAL,UNRESOLVED,0.7273,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,211,cash_to_assets
1067983,financials,eps_diluted,ABSENT,UNRESOLVED,0.0,,116,eps_diluted_yoy_growth
1161154,energy,eps_diluted,PARTIAL,UNRESOLVED,0.4444,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,57,eps_diluted_yoy_growth
1222333,financials,eps_diluted,ABSENT,UNRESOLVED,0.0,,14,eps_diluted_yoy_growth
1403161,financials,eps_diluted,ABSENT,UNRESOLVED,0.0,,185,eps_diluted_yoy_growth
1404912,financials,eps_diluted,ABSENT,UNRESOLVED,0.0,,18,eps_diluted_yoy_growth
1552000,energy,eps_diluted,PARTIAL,UNRESOLVED,0.625,NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,12,eps_diluted_yoy_growth
1618921,consumer,eps_diluted,PARTIAL,UNRESOLVED,0.8125,EarningsPerShareDiluted,18,eps_diluted_yoy_growth
1222333,financials,equity,ABSENT,UNRESOLVED,0.0,,14,equity_to_assets|book_to_market
1800,healthcare,liabilities,ABSENT,UNRESOLVED,0.0,,161,leverage_liabilities_to_assets
2488,tech,liabilities,ABSENT,UNRESOLVED,0.0,,83,leverage_liabilities_to_assets
6769,energy,liabilities,ABSENT,UNRESOLVED,0.0,,54,leverage_liabilities_to_assets
10795,healthcare,liabilities,ABSENT,UNRESOLVED,0.0,,144,leverage_liabilities_to_assets
21344,consumer,liabilities,ABSENT,UNRESOLVED,0.0,,178,leverage_liabilities_to_assets
27419,consumer,liabilities,ABSENT,UNRESOLVED,0.0,,56,leverage_liabilities_to_assets
47217,tech,liabilities,ABSENT,UNRESOLVED,0.0,,67,leverage_liabilities_to_assets
50863,tech,liabilities,ABSENT,UNRESOLVED,0.0,,208,leverage_liabilities_to_assets
