rank,batch,chunk_id,section_type,home_ticker,word_count
1,1,CHK-9a078c27c149b5b4,MDA,ABBV,388
2,1,CHK-6288d0f21a02af3a,RISK_FACTORS,MSFT,530
3,1,CHK-e31cd185b1dc5201,MDA,JPM,380
4,1,CHK-7ac2fc7a617e9668,MDA,NVDA,585
5,1,CHK-e2be31d72e7b104f,EX99_PRESS_RELEASE,PFE,379
6,1,CHK-d19832deac747b17,MDA,KO,383
7,1,CHK-8b0f62bfc6175763,MDA,BAC,380
8,1,CHK-f0a062f8564d384f,RISK_FACTORS,CSCO,382
9,1,CHK-a181e53a75ff6eb6,RISK_FACTORS,MA,483
10,1,CHK-a1223d23f2089ce0,MDA,MA,402
11,1,CHK-b122dd4bbd9e4242,RISK_FACTORS,MSFT,662
12,1,CHK-9be672e8c210c416,MDA,MRK,426
13,1,CHK-9f3013e812996c67,MDA,GOOGL,299
14,1,CHK-b5e4aa3d798cca2b,MDA,GS,388
15,1,CHK-d3b4f5daaa09dbf3,MDA,ABBV,385
16,1,CHK-3ec5f86d7a1a5a7e,MDA,MA,393
17,1,CHK-d3617ab0722153c6,RISK_FACTORS,MSFT,386
18,1,CHK-31266f0841ea2cef,MDA,MRK,453
19,1,CHK-89a8284b157fcee0,RISK_FACTORS,CSCO,352
20,1,CHK-b8f5d5a6709fccf2,RISK_FACTORS,UNH,375
21,1,CHK-03a55a82cb666a8f,EX99_PRESS_RELEASE,UNH,376
22,1,CHK-91cd090467f7fa4b,MDA,BAC,383
23,1,CHK-b822a3b51f377c90,EX99_PRESS_RELEASE,PG,241
24,1,CHK-fa97d43bd7e68b7f,MDA,JPM,462
25,1,CHK-9440a842a6e25106,MDA,NVDA,381
26,1,CHK-25bb787add681003,MDA,BAC,415
27,1,CHK-3136bb941118a944,MDA,BAC,365
28,1,CHK-0398179a92983a81,EX99_PRESS_RELEASE,KO,930
29,1,CHK-4f5ac4dfd9a92402,RISK_FACTORS,SLB,111
30,1,CHK-5b27b3fb37e80adb,RISK_FACTORS,UNH,433
31,1,CHK-12a3b9d1fabc91c4,EX99_PRESS_RELEASE,GS,124
32,1,CHK-be4a7965ef974798,RISK_FACTORS,BAC,476
33,1,CHK-02448edabce0e6c8,MDA,NVDA,378
34,1,CHK-d9d89e70d8d0cb94,MDA,JNJ,415
35,1,CHK-20ee38bf0e3d1d63,MDA,JPM,413
36,1,CHK-f2c057910fd98c51,RISK_FACTORS,CSCO,363
