recon_date,cik,name,sector,stratum,float_usd,float_instant,float_accn,shares_outstanding,shares_source,implied_price_usd,zero_float_instant,zero_float_filed,flags,float_to_assets,scale_verdict
2016-07-01,1800,ABBOTT LABORATORIES,healthcare,core,71342394796.0,2015-06-30,0001047469-16-010246,,no_concept,,,,,,
2016-07-01,2969,"Air Products & Chemicals, Inc.",materials_realestate,extension,32400000000.0,2015-03-31,0001193125-15-386399,215426569.0,same_accn@2015-10-31,150.39927595931772,,,,,
2016-07-01,4904,AMERICAN ELECTRIC POWER CO INC,utilities,extension,26011055215.0,2015-12-31,0000004904-16-000056,491052581.0,same_accn@2015-12-31,52.96999999883923,,,,,
2016-07-01,5272,"AMERICAN INTERNATIONAL GROUP, INC.",financials,core,80826000000.0,2015-06-30,0000005272-16-000035,1149448256.0,same_accn@2016-02-11,70.31721487078406,,,,,
2016-07-01,6769,APACHE CORP,energy,core,21783122197.0,2015-06-30,0001193125-16-481920,378297784.0,same_accn@2016-01-31,57.581945013455325,,,,,
2016-07-01,6951,APPLIED MATERIALS INC /DE,tech,core,26764127442.0,2015-04-26,0000006951-15-000034,1149133389.0,same_accn@2015-12-03,23.29070558578992,,,,,
2016-07-01,8670,AUTOMATIC DATA PROCESSING INC,tech,core,39778918109.0,2015-06-30,0000008670-15-000021,465810128.0,same_accn@2015-07-31,85.39728038931777,,,,,
2016-07-01,12927,BOEING CO,industrials,extension,94500000000.0,2015-06-30,0000012927-16-000099,662503822.0,same_accn@2016-02-04,142.64068653176767,,,,,
2016-07-01,14272,BRISTOL MYERS SQUIBB CO,healthcare,core,110846810075.0,2015-06-30,0000014272-16-000288,1669459090.0,same_accn@2016-02-01,66.39684119183777,,,,,
2016-07-01,18230,CATERPILLAR INC,industrials,extension,51000000000.0,2015-06-30,0000018230-16-000533,582321890.0,same_accn@2015-12-31,87.58042738183859,,,,,
2016-07-01,19617,JPMORGAN CHASE & CO,financials,core,249201931877.0,2015-06-30,0000019617-16-000902,3670264897.0,same_accn@2016-01-31,67.89753297662318,,,,,
