cik,name,instant,filed,val,accn,form,reason
4127,"SKYWORKS SOLUTIONS, INC.",2011-04-01,2011-11-28,5808022900000000.0,0000004127-11-000015,10-K,above_ceiling
5272,"AMERICAN INTERNATIONAL GROUP, INC.",2008-06-30,2009-09-03,61753000000.0,0001104659-09-053270,10-Q/A,neighbour_jump
5272,"AMERICAN INTERNATIONAL GROUP, INC.",2008-06-30,2009-11-06,61753000000.0,0001047469-09-009659,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2008-05-03,2009-08-18,6911000000.0,0000950123-09-036183,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2009-05-02,2009-11-24,5181000000.0,0000950123-09-065635,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2009-05-02,2010-02-17,5181000000.0,0000950123-10-013755,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2009-05-02,2010-05-18,5181000000.0,0000950123-10-050859,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2009-05-02,2010-08-17,5181000000.0,0000950123-10-078540,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2010-05-01,2010-11-22,7314000000.0,0000950123-10-107816,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2010-05-01,2011-02-15,7314000000.0,0000950123-11-014275,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2010-05-01,2011-05-17,7314000000.0,0000950123-11-051316,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2010-05-01,2011-08-16,7314000000.0,0000950123-11-077973,10-Q,neighbour_jump
6281,ANALOG DEVICES INC,2011-04-30,2011-11-22,9291000000.0,0000950123-11-099928,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2013-05-04,2013-11-26,12124000000.0,0000006281-13-000040,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2014-05-04,2014-12-10,12606000000.0,0000006281-14-000039,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2015-05-03,2015-11-24,16532000000.0,0000006281-15-000044,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2016-05-01,2016-11-22,13575000000.0,0000006281-16-000097,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2017-04-30,2017-11-22,21972000000.0,0000006281-17-000144,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2018-05-06,2018-11-27,26590000000.0,0000006281-18-000126,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2019-05-03,2019-11-26,31890000000.0,0000006281-19-000144,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2020-05-01,2020-11-24,29650000000.0,0000006281-20-000156,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2021-04-30,2021-12-03,42211000000.0,0000006281-21-000294,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2022-04-30,2022-11-22,62631000000.0,0000006281-22-000250,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2023-04-29,2023-11-21,74584000000.0,0000006281-23-000203,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2024-05-04,2024-11-26,76694000000.0,0000006281-24-000204,10-K,neighbour_jump
6281,ANALOG DEVICES INC,2025-05-03,2025-11-25,81121000000.0,0000006281-25-000153,10-K,neighbour_jump
6769,APACHE CORP,2021-06-30,2022-02-22,0.0,0001784031-22-000010,10-K,zero_or_negative
6769,APACHE CORP,2022-06-30,2023-02-23,0.0,0001784031-23-000008,10-K,zero_or_negative
6769,APACHE CORP,2023-06-30,2024-02-22,0.0,0001784031-24-000004,10-K,zero_or_negative
20520,"Frontier Communications Parent, Inc.",2021-06-30,2022-02-25,6450000000.0,0000020520-22-000004,10-K,neighbour_jump
20520,"Frontier Communications Parent, Inc.",2022-06-30,2023-02-24,5770000000.0,0001562762-23-000055,10-K,neighbour_jump
20520,"Frontier Communications Parent, Inc.",2023-06-30,2024-02-23,4400000000.0,0001562762-24-000034,10-K,neighbour_jump
20520,"Frontier Communications Parent, Inc.",2024-06-30,2025-02-20,6400000000.0,0001562762-25-000028,10-K,neighbour_jump
29915,DOW CHEMICAL CO /DE/,2017-12-31,2018-02-15,0.0,0000029915-18-000007,10-K,zero_or_negative
29915,DOW CHEMICAL CO /DE/,2018-12-31,2019-02-11,0.0,0000029915-19-000008,10-K,zero_or_negative
30554,"EIDP, Inc.",2018-06-30,2019-02-11,0.0,0000030554-19-000005,10-K,zero_or_negative
36270,M&T BANK CORP,2022-06-30,2023-02-22,2.7304085267e+16,0000950170-23-003804,10-K,above_ceiling
36270,M&T BANK CORP,2023-06-30,2024-02-21,1.9900658494e+16,0000950170-24-017990,10-K,above_ceiling
40545,GENERAL ELECTRIC CO,2009-06-30,2009-08-03,124865000000.0,0000040545-09-000049,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2009-09-30,2009-11-02,124865000000.0,0000040545-09-000071,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2009-09-30,2009-11-06,124865000000.0,0000040545-09-000074,10-Q/A,neighbour_jump
40545,GENERAL ELECTRIC CO,2009-12-31,2010-02-19,124865000000.0,0000040545-10-000010,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2010-06-30,2011-02-25,159400000000.0,0001193125-11-047479,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2012-06-30,2013-02-26,217800000000.0,0000040545-13-000036,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2013-06-30,2014-02-27,233800000000.0,0000040554-14-000023,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2014-12-31,2015-02-27,261100000000.0,0000040545-15-000030,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2014-12-31,2015-05-08,261100000000.0,0000040545-15-000062,8-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2014-12-31,2015-08-07,261100000000.0,0000040545-15-000094,8-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2015-03-31,2015-05-04,261100000000.0,0000040545-15-000054,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2015-06-30,2015-07-30,268300000000.0,0000040545-15-000088,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2015-06-30,2016-02-26,265600000000.0,0000040545-16-000145,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2015-06-30,2016-06-03,265600000000.0,0000040545-16-000162,8-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2015-09-30,2015-11-02,261100000000.0,0000040545-15-000114,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2016-12-31,2017-02-24,265600000000.0,0000040545-17-000010,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2017-03-31,2017-05-05,265600000000.0,0000040545-17-000028,10-Q,neighbour_jump
40545,GENERAL ELECTRIC CO,2017-06-30,2018-02-23,231500000000.0,0000040545-18-000014,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2018-06-30,2019-02-26,116200000000.0,0000040545-19-000014,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2019-06-30,2020-02-24,90100000000.0,0000040545-20-000009,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2020-06-30,2021-02-12,58900000000.0,0000040545-21-000011,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2021-06-30,2022-02-11,116500000000.0,0000040545-22-000008,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2022-06-30,2023-02-10,68800000000.0,0000040545-23-000023,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2023-06-30,2024-02-02,117900000000.0,0000040545-24-000027,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2024-06-30,2025-02-03,170000000000.0,0000040545-25-000015,10-K,neighbour_jump
40545,GENERAL ELECTRIC CO,2025-06-30,2026-01-29,270200000000.0,0000040545-26-000008,10-K,neighbour_jump
40729,Ally Financial Inc.,2011-06-30,2012-02-28,0.0,0000040729-12-000011,10-K,zero_or_negative
40729,Ally Financial Inc.,2011-06-30,2012-08-03,0.0,0000040729-12-000022,8-K,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2013-03-01,0.0,0000040729-13-000005,10-K,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2013-05-01,0.0,0000040729-13-000009,10-Q,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2013-07-09,0.0,0000040729-13-000016,8-K,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2013-08-02,0.0,0000040729-13-000020,10-Q,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2013-11-05,0.0,0000040729-13-000042,10-Q,zero_or_negative
40729,Ally Financial Inc.,2012-06-30,2014-03-03,0.0,0000040729-14-000007,10-K,zero_or_negative
40729,Ally Financial Inc.,2013-06-30,2014-05-01,0.0,0000040729-14-000112,10-Q,zero_or_negative
40729,Ally Financial Inc.,2013-06-30,2014-08-01,0.0,0000040729-14-000237,10-Q,zero_or_negative
40729,Ally Financial Inc.,2013-06-30,2014-10-31,0.0,0000040729-14-000356,10-Q,zero_or_negative
40987,GENUINE PARTS CO,2008-06-30,2009-08-06,6228135000000.0,0000950123-09-031054,10-Q,neighbour_jump
48898,HUBBELL INC,2010-06-30,2011-02-16,2180251177000000.0,0000950123-11-014739,10-K,above_ceiling
