cik,name,tickers,sector,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
80424,PROCTER & GAMBLE Co,PG,consumer,2840,2016-07-01,2020-07-01,4,1,2,2.0,223000000000.0,False
1001039,TWDC Enterprises 18 Corp.,,consumer,7990,2016-07-01,2019-07-01,3,2,6,5.0,177900000000.0,False
21344,COCA COLA CO,KO,consumer,2080,2016-07-01,,11,3,8,5.0,215914430571.0,True
1018724,AMAZON COM INC,AMZN,consumer,5961,2016-07-01,,11,4,1,1.0,944744113598.0,True
354950,"HOME DEPOT, INC.",HD,consumer,5211,2016-07-01,,11,5,7,4.0,285600000000.0,True
1166691,COMCAST CORP,"CMCSA,CCZ",consumer,4841,2016-07-01,,11,6,13,7.0,170209000000.0,True
77476,PEPSICO INC,PEP,consumer,2080,2016-07-01,2017-07-01,1,7,7,7.0,137900000000.0,False
1413329,Philip Morris International Inc.,PM,consumer,2111,2016-07-01,2021-07-01,5,8,9,8.0,126000000000.0,False
64803,CVS HEALTH Corp,CVS,consumer,5912,2016-07-01,2019-07-01,3,9,12,12.0,101661618666.0,False
764180,"ALTRIA GROUP, INC.",MO,consumer,2111,2016-07-01,2021-07-01,5,10,12,10.0,107000000000.0,False
63908,MCDONALDS CORP,MCD,consumer,5812,2016-07-01,,11,11,10,11.0,157661991693.0,True
320187,"NIKE, Inc.",NKE,consumer,3021,2016-07-01,2018-07-01,2,12,13,12.5,82930468529.0,False
829224,STARBUCKS CORP,SBUX,consumer,5810,2016-07-01,2017-07-01,1,13,13,13.0,69000000000.0,False
104169,Walmart Inc.,WMT,consumer,5331,2017-07-01,,10,9,6,8.5,184527097677.5,False
1637459,Kraft Heinz Co,KHC,consumer,2030,2017-07-01,2018-07-01,1,10,10,10.0,107000000000.0,False
829224,STARBUCKS CORP,SBUX,consumer,5810,2018-07-01,2021-07-01,3,11,11,11.0,82000000000.0,False
1105705,"WARNER MEDIA, LLC",,consumer,4841,2018-07-01,2019-07-01,1,13,13,13.0,78170000000.0,False
77476,PEPSICO INC,PEP,consumer,2080,2019-07-01,,8,5,11,8.5,194650000000.0,False
1065280,NETFLIX INC,NFLX,consumer,7841,2019-07-01,2023-07-01,4,7,8,7.0,176931227150.0,False
320187,"NIKE, Inc.",NKE,consumer,3021,2019-07-01,2024-07-01,5,12,8,11.0,123844132290.0,False
1103982,"Mondelez International, Inc.",MDLZ,consumer,2000,2020-07-01,2021-07-01,1,13,13,13.0,76700000000.0,False
80424,PROCTER & GAMBLE Co,PG,consumer,2840,2021-07-01,,6,2,5,5.0,351000000000.0,False
