cik,name,tickers,has_current_ticker,exchanges,last_periodic,still_filing,former_names,censoring_risk
1800,ABBOTT LABORATORIES,ABT,True,NYSE,2026-07-28,True,,False
2488,ADVANCED MICRO DEVICES INC,AMD,True,Nasdaq,2026-08-05,True,,False
2969,"Air Products & Chemicals, Inc.",APD,True,NYSE,2026-07-30,True,AIR PRODUCTS & CHEMICALS INC /DE/,False
3570,"Cheniere Energy, Inc.",LNG,True,NYSE,2026-08-06,True,CHENIERE ENERGY INC | BEXY COMMUNICATIONS INC,False
4281,Howmet Aerospace Inc.,HWM,True,NYSE,2026-08-06,True,Arconic Inc. | ALCOA INC. | ALCOA INC | ALUMINUM CO OF AMERICA,False
4447,HESS CORP,,False,,2025-05-08,False,AMERADA HESS CORP,True
4904,AMERICAN ELECTRIC POWER CO INC,AEP,True,Nasdaq,2026-07-30,True,AMERICAN ELECTRIC POWER COMPANY INC,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",AIG,True,NYSE,2026-08-07,True,AMERICAN INTERNATIONAL GROUP INC,False
6769,APACHE CORP,,False,,2024-11-07,False,,True
6951,APPLIED MATERIALS INC /DE,AMAT,True,Nasdaq,2026-08-20,True,,False
8670,AUTOMATIC DATA PROCESSING INC,ADP,True,Nasdaq,2026-08-05,True,,False
10795,BECTON DICKINSON & CO,BDX,True,NYSE,2026-08-06,True,,False
12927,BOEING CO,"BA,BA-PA",True,"NYSE,NYSE",2026-07-28,True,,False
14272,BRISTOL MYERS SQUIBB CO,"BMY,CELG-RI",True,"NYSE,NYSE",2026-07-30,True,,False
18230,CATERPILLAR INC,CAT,True,NYSE,2026-08-05,True,,False
19617,JPMORGAN CHASE & CO,"JPM,JPM-PC,AMJB,JPM-PD,JPM-PJ,JPM-PK,JPM-PL,JPM-PM,VYLD",True,"NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE",2026-08-06,True,JPMORGAN CHASE & CO | J P MORGAN CHASE & CO | CHASE MANHATTAN CORP /DE/ | CHEMICAL BANKING CORP,False
21344,COCA COLA CO,KO,True,NYSE,2026-07-29,True,,False
21665,COLGATE PALMOLIVE CO,CL,True,NYSE,2026-07-31,True,COLGATE PALMOLIVE CO,False
24741,CORNING INC /NY,GLW,True,NYSE,2026-07-29,True,,False
27419,TARGET CORP,TGT,True,NYSE,2026-05-29,True,DAYTON HUDSON CORP,False
29915,DOW CHEMICAL CO /DE/,,False,,2026-07-24,True,,True
30554,"EIDP, Inc.","CTA-PB,CTA-PA",True,"NYSE,NYSE",2026-07-31,True,DUPONT E I DE NEMOURS & CO,False
31462,ECOLAB INC.,ECL,True,NYSE,2026-08-06,True,ECOLAB INC,False
32604,EMERSON ELECTRIC CO,EMR,True,NYSE,2026-08-04,True,,False
33213,EQT Corp,EQT,True,NYSE,2026-07-22,True,EQUITABLE RESOURCES INC /PA/,False
34088,EXXON MOBIL CORP,,False,,2026-08-03,True,EXXON CORP,True
36104,US BANCORP \DE\,"USB,USB-PA,USB-PH,USB-PP,USB-PQ,USB-PR,USB-PS",True,"NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE",2026-08-06,True,FIRST BANK SYSTEM INC,False
37996,FORD MOTOR CO,"F,F-PB,F-PC,F-PD",True,"NYSE,NYSE,NYSE,NYSE",2026-07-29,True,,False
40533,GENERAL DYNAMICS CORP,GD,True,NYSE,2026-07-29,True,,False
45012,HALLIBURTON CO,HAL,True,NYSE,2026-07-24,True,,False
47217,HP INC,HPQ,True,NYSE,2026-05-28,True,HEWLETT PACKARD CO,False
49071,HUMANA INC,HUM,True,NYSE,2026-07-29,True,,False
49826,ILLINOIS TOOL WORKS INC,ITW,True,NYSE,2026-08-06,True,,False
50863,INTEL CORP,INTC,True,Nasdaq,2026-07-24,True,,False
51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,True,NYSE,2026-07-23,True,,False
55785,KIMBERLY CLARK CORP,KMB,True,Nasdaq,2026-08-04,True,,False
59478,ELI LILLY & Co,LLY,True,NYSE,2026-08-05,True,LILLY ELI & CO | LILLY ELI & CO ET AL,False
60667,LOWES COMPANIES INC,LOW,True,NYSE,2026-05-28,True,,False
62709,"MARSH & MCLENNAN COMPANIES, INC.",MRSH,True,NYSE,2026-07-21,True,MARSH & MCLENNAN COMPANIES INC,False
63908,MCDONALDS CORP,MCD,True,NYSE,2026-08-07,True,,False
64040,S&P Global Inc.,SPGI,True,NYSE,2026-07-28,True,MCGRAW HILL FINANCIAL INC | MCGRAW-HILL COMPANIES INC | MCGRAW HILL INC,False
64803,CVS HEALTH Corp,CVS,True,NYSE,2026-08-05,True,CVS CAREMARK CORP | CVS/CAREMARK CORP | CVS CORP | MELVILLE CORP,False
66740,3M CO,MMM,True,NYSE,2026-07-21,True,MINNESOTA MINING & MANUFACTURING CO,False
70858,BANK OF AMERICA CORP /DE/,"BAC,BML-PG,BML-PL,BAC-PB,BAC-PK,BAC-PE,BAC-PL,BAC-PM,BAC-PN,BAC-PO,BAC-PP,BAC-PQ,BAC-PS,BACRP,BML-PH,BML-PJ,MER-PK",True,"NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,OTC,NYSE,NYSE,NYSE",2026-07-31,True,BANKAMERICA CORP/DE/ | NATIONSBANK CORP,False
72741,EVERSOURCE ENERGY,ES,True,NYSE,2026-08-03,True,NORTHEAST UTILITIES | NORTHEAST UTILITIES SYSTEM,False
72903,XCEL ENERGY INC,"XEL,XELLL",True,"Nasdaq,Nasdaq",2026-07-30,True,NORTHERN STATES POWER CO /MN/,False
72971,WELLS FARGO & COMPANY/MN,"WFC,WFC-PY,WFC-PL,WFC-PC,WFCNP,WFC-PA,WFC-PD,WFC-PZ",True,"NYSE,NYSE,NYSE,NYSE,OTC,NYSE,NYSE,NYSE",2026-07-28,True,WELLS FARGO & CO/MN | NORWEST CORP,False
73309,NUCOR CORP,NUE,True,NYSE,2026-08-12,True,,False
77476,PEPSICO INC,PEP,True,Nasdaq,2026-07-09,True,,False
78003,PFIZER INC,PFE,True,NYSE,2026-08-04,True,PFIZER INC,False
79879,PPG INDUSTRIES INC,PPG,True,NYSE,2026-07-29,True,,False
80424,PROCTER & GAMBLE Co,PG,True,NYSE,2026-08-04,True,,False
80661,PROGRESSIVE CORP/OH/,PGR,True,NYSE,2026-08-03,True,,False
86312,"TRAVELERS COMPANIES, INC.",TRV,True,NYSE,2026-07-17,True,ST PAUL TRAVELERS COMPANIES INC | ST PAUL COMPANIES INC /MN/ | ST PAUL FIRE & MARINE INSURANCE CO/MD,False
87347,SLB LIMITED/NV,SLB,True,NYSE,2026-07-29,True,SCHLUMBERGER LIMITED/NV | SCHLUMBERGER LTD /NV/ | SCHLUMBERGER LTD /NY/,False
89800,SHERWIN WILLIAMS CO,SHW,True,NYSE,2026-07-28,True,,False
92122,SOUTHERN CO,"SO,SOJC,SOJD,SOJE,SOJF,SOMN",True,"NYSE,NYSE,NYSE,NYSE,NYSE,NYSE",2026-07-30,True,SOUTHERN CO,False
92230,TRUIST FINANCIAL CORP,"TFC,TFC-PI,TFC-PO,TFC-PR",True,"NYSE,NYSE,NYSE,NYSE",2026-07-31,True,BB&T CORP | SOUTHERN NATIONAL CORP /NC/,False
93410,CHEVRON CORP,CVX,True,NYSE,2026-08-06,True,CHEVRONTEXACO CORP,False
97476,TEXAS INSTRUMENTS INC,TXN,True,Nasdaq,2026-07-24,True,,False
97745,THERMO FISHER SCIENTIFIC INC.,TMO,True,NYSE,2026-07-31,True,THERMO ELECTRON CORP,False
100885,UNION PACIFIC CORP,UNP,True,NYSE,2026-07-23,True,,False
101829,RTX Corp,RTX,True,NYSE,2026-07-23,True,RAYTHEON TECHNOLOGIES CORP | UNITED TECHNOLOGIES CORP /DE/,False
104169,Walmart Inc.,WMT,True,Nasdaq,2026-05-29,True,Walmart Inc. | WAL MART STORES INC,False
106040,WESTERN DIGITAL CORP,WDC,True,Nasdaq,2026-08-14,True,,False
106535,WEYERHAEUSER CO,WY,True,NYSE,2026-07-31,True,,False
107263,"WILLIAMS COMPANIES, INC.",WMB,True,NYSE,2026-08-03,True,WILLIAMS COMPANIES INC,False
109198,TJX COMPANIES INC /DE/,TJX,True,NYSE,2026-05-29,True,TJX COMPANIES INC /DE/,False
200406,JOHNSON & JOHNSON,JNJ,True,NYSE,2026-07-23,True,JOHNSON & JOHNSON ET AL,False
310158,"Merck & Co., Inc.",MRK,True,NYSE,2026-08-07,True,Merck & Co. Inc. | SCHERING PLOUGH CORP,False
310764,STRYKER CORP,SYK,True,NYSE,2026-07-31,True,,False
313616,DANAHER CORP /DE/,DHR,True,NYSE,2026-07-21,True,,False
315189,DEERE & CO,DE,True,NYSE,2026-05-28,True,,False
315293,Aon plc,AON,True,NYSE,2026-07-29,True,AON CORP,False
316709,SCHWAB CHARLES CORP,"SCHW,SCHW-PD,SCHW-PJ",True,"NYSE,NYSE,NYSE",2026-08-07,True,,False
318154,AMGEN INC,AMGN,True,Nasdaq,2026-08-05,True,,False
320187,"NIKE, Inc.",NKE,True,NYSE,2026-07-15,True,NIKE INC,False
320193,Apple Inc.,AAPL,True,Nasdaq,2026-07-31,True,APPLE INC | APPLE COMPUTER INC | APPLE COMPUTER INC/ FA,False
354950,"HOME DEPOT, INC.",HD,True,NYSE,2026-05-27,True,HOME DEPOT INC,False
701221,Cigna Holding Co,,False,,2018-11-01,False,CIGNA CORP,True
707549,LAM RESEARCH CORP,LRCX,True,Nasdaq,2026-08-07,True,,False
712515,ELECTRONIC ARTS INC.,EA,True,Nasdaq,2026-08-03,True,ELECTRONIC ARTS INC,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,True,NYSE,2026-08-05,True,PNC FINANCIAL SERVICES GROUP INC | PNC BANK CORP,False
715957,"DOMINION ENERGY, INC",D,True,NYSE,2026-07-31,True,DOMINION ENERGY INC /VA/ | DOMINION RESOURCES INC /VA/,False
718877,"Activision Blizzard, Inc.",,False,,2023-07-31,False,ACTIVISION INC /NY,True
723125,MICRON TECHNOLOGY INC,MU,True,Nasdaq,2026-06-25,True,,False
726728,REALTY INCOME CORP,O,True,NYSE,2026-08-06,True,,False
731766,UNITEDHEALTH GROUP INC,UNH,True,NYSE,2026-08-10,True,UNITED HEALTHCARE CORP,False
732712,VERIZON COMMUNICATIONS INC,VZ,True,NYSE,2026-07-31,True,BELL ATLANTIC CORP,False
732717,AT&T INC.,"T,TBB,T-PA,T-PC",True,"NYSE,NYSE,NYSE,NYSE",2026-07-22,True,SBC COMMUNICATIONS INC | SOUTHWESTERN BELL CORP,False
753308,NEXTERA ENERGY INC,"NEE,NEE-PN,NEE-PS,NEE-PT,NEE-PU,NEE-PV,NEE-PW",True,"NYSE,NYSE,NYSE,NYSE,NYSE,NYSE,NYSE",2026-07-24,True,FPL GROUP INC,False
764180,"ALTRIA GROUP, INC.",MO,True,NYSE,2026-07-30,True,ALTRIA GROUP INC | PHILIP MORRIS COMPANIES INC,False
766704,WELLTOWER INC.,WELL,True,NYSE,2026-07-28,True,HEALTH CARE REIT INC /DE/,False
769397,"Autodesk, Inc.",ADSK,True,Nasdaq,2026-05-29,True,AUTODESK INC,False
773840,HONEYWELL INTERNATIONAL INC,HON,True,Nasdaq,2026-07-23,True,ALLIEDSIGNAL INC | ALLIED SIGNAL INC,False
773910,ANADARKO PETROLEUM CORP,,False,,2019-07-30,False,,True
788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,True,NYSE,2026-08-04,True,,False
789019,MICROSOFT CORP,MSFT,True,Nasdaq,2026-07-29,True,,False
790070,EMC CORP,,False,,2016-08-08,False,,True
797468,OCCIDENTAL PETROLEUM CORP /DE/,"OXY,OXY-WT",True,"NYSE,NYSE",2026-08-05,True,,False
798354,FISERV INC,FISV,True,Nasdaq,2026-08-07,True,,False
804328,QUALCOMM INC/DE,QCOM,True,Nasdaq,2026-07-29,True,,False
804753,CERNER Corp,,False,,2022-05-03,False,CERNER CORP /MO/,True
813672,CADENCE DESIGN SYSTEMS INC,CDNS,True,Nasdaq,2026-07-29,True,,False
816284,CELGENE CORP /DE/,,False,,2019-10-31,False,,True
821189,EOG RESOURCES INC,EOG,True,NYSE,2026-08-04,True,ENRON OIL & GAS CO,False
823768,WASTE MANAGEMENT INC,WM,True,NYSE,2026-07-29,True,USA WASTE SERVICES INC,False
827052,EDISON INTERNATIONAL,EIX,True,NYSE,2026-07-30,True,SCECORP,False
829224,STARBUCKS CORP,SBUX,True,Nasdaq,2026-07-29,True,,False
