chunk_id,section_type,primary_tier,field,judgment,field_note,example_note,source,method
CHK-005ac11578e46c56,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-005ac11578e46c56,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-005ac11578e46c56,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-005ac11578e46c56,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-006f8bf7514f3eb7,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-006f8bf7514f3eb7,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-006f8bf7514f3eb7,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-006f8bf7514f3eb7,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,red_flags,disagree,,,model-adjudicator,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-017223298cafcba7,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-017223298cafcba7,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-020134297b2edd4b,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-020134297b2edd4b,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-02a819825347daaa,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-02a819825347daaa,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-02a819825347daaa,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-02a819825347daaa,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,red_flags,disagree,,,model-adjudicator,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-0342abb8f8fd3c90,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-0342abb8f8fd3c90,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-0342abb8f8fd3c90,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-0342abb8f8fd3c90,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-044d7fa21c2d4322,RISK_FACTORS,B,red_flags,disagree,,,model-adjudicator,
CHK-044d7fa21c2d4322,RISK_FACTORS,B,distress_tier,agree,,,model-auditor,
CHK-0460c6456ef03e09,MDA,C,sentiment,agree,,,model-auditor,
CHK-0460c6456ef03e09,MDA,C,red_flags,agree,,,model-auditor,
CHK-0460c6456ef03e09,MDA,C,distress_tier,agree,,,model-auditor,
CHK-05ef3f137c175785,RISK_FACTORS,D,red_flags,agree,,,model-auditor,
CHK-05ef3f137c175785,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-060bb35a20101e04,RISK_FACTORS,A,red_flags,disagree,,,model-adjudicator,
CHK-060bb35a20101e04,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-06c48a91d042595b,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-06c48a91d042595b,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-06c48a91d042595b,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-06c48a91d042595b,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-07dd6b47fc77921d,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-07dd6b47fc77921d,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-07dd6b47fc77921d,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-07dd6b47fc77921d,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-07eed8cfa3cc6947,RISK_FACTORS,D,red_flags,disagree,,,model-adjudicator,
CHK-07eed8cfa3cc6947,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,sentiment,agree,,,model-auditor,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,guidance_direction,agree,,,model-auditor,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=LEGAL_REGULATORY_ACTION-REALIZED; TRADE_POLICY_EXPOSURE-HYPOTHETICAL; SUPPLY_INPUT_CONSTRAINT-HYPOTHETICAL; MARGIN_COST_PRESSURE-HYPOTHETICAL,,owner,bulk-ratified
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,distress_tier,agree,,,model-auditor,
CHK-08799bc7a67be233,RISK_FACTORS,A,red_flags,agree,,,model-auditor,
CHK-08799bc7a67be233,RISK_FACTORS,A,distress_tier,agree,,,model-auditor,
CHK-088e7e55e663a543,RISK_FACTORS,D,red_flags,disagree,owner-ratified adjudicator ruling (conf=medium): correct=SUPPLY_INPUT_CONSTRAINT-HYPOTHETICAL,,owner,bulk-ratified
CHK-088e7e55e663a543,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-0b3856085c5ba8cd,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-0b3856085c5ba8cd,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-0b3856085c5ba8cd,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-0b3856085c5ba8cd,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
CHK-0b5e321f5a9b7dc3,MDA,D,sentiment,agree,,,model-auditor,
CHK-0b5e321f5a9b7dc3,MDA,D,red_flags,disagree,,,model-adjudicator,
CHK-0b5e321f5a9b7dc3,MDA,D,distress_tier,agree,,,model-auditor,
CHK-0b7d0c893230c96f,RISK_FACTORS,D,red_flags,agree,,,model-auditor,
CHK-0b7d0c893230c96f,RISK_FACTORS,D,distress_tier,agree,,,model-auditor,
CHK-0bece92fc4efa93d,EX99_PRESS_RELEASE,B,sentiment,agree,,,model-auditor,
CHK-0bece92fc4efa93d,EX99_PRESS_RELEASE,B,guidance_direction,agree,,,model-auditor,
CHK-0bece92fc4efa93d,EX99_PRESS_RELEASE,B,red_flags,agree,,,model-auditor,
CHK-0bece92fc4efa93d,EX99_PRESS_RELEASE,B,distress_tier,agree,,,model-auditor,
