chunk_id,section_type,primary_tier,field,judgment,field_note,example_note
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-0155a36a6f8dca5a,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-017223298cafcba7,RISK_FACTORS,A,red_flags,,,
CHK-017223298cafcba7,RISK_FACTORS,A,distress_tier,,,
CHK-020134297b2edd4b,RISK_FACTORS,A,red_flags,,,
CHK-020134297b2edd4b,RISK_FACTORS,A,distress_tier,,,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-02c976cdaea2cca2,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-060bb35a20101e04,RISK_FACTORS,A,red_flags,,,
CHK-060bb35a20101e04,RISK_FACTORS,A,distress_tier,,,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-081921fe16eebd72,EX99_PRESS_RELEASE,A,distress_tier,,,
CHK-08799bc7a67be233,RISK_FACTORS,A,red_flags,,,
CHK-08799bc7a67be233,RISK_FACTORS,A,distress_tier,,,
CHK-0c19b4e109fcc96c,MDA,A,sentiment,,,
CHK-0c19b4e109fcc96c,MDA,A,red_flags,,,
CHK-0c19b4e109fcc96c,MDA,A,distress_tier,,,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,sentiment,,,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,guidance_direction,,,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,red_flags,,,
CHK-0cd21022266b6704,EX99_PRESS_RELEASE,A,distress_tier,,,
